priority,company,canton,city,website,public_contact,public_person,fit_reason,source_url,permission_status,contact_status,do_not_email,verified_on
P1,R.C. Pont Assurances,GE,Thônex,https://www.rcpont.ch/,info@rcpont.com,"Samuel Pont, directeur","Équipe publiée et spécialisation professions médicales : besoin multi-utilisateur, documents et traçabilité.",https://www.rcpont.ch/contact/,not_obtained,not_contacted,true,2026-07-12
P1,Assurances Conseils et Courtage Sàrl (ACC),GE,Grand-Lancy,https://acc-assurances.ch/,contact@acc-assurances.ch,"Michaël Piguet, équipe","Quatre conseillers publiés et gestion des sinistres, adaptations et renouvellements.",https://acc-assurances.ch/,not_obtained,not_contacted,true,2026-07-12
P1,NEO Group SA,GE,Genève,https://www.neo-group.ch/,info@neo-group.ch,,"Clientèle entreprises, indépendants et particuliers avec plus de 40 partenaires annoncés.",https://www.neo-group.ch/contact/,not_obtained,not_contacted,true,2026-07-12
P2,Alpha Office Sàrl,GE,Cointrin,https://alphaoffice-gva.ch/,info@alphaoffice-gva.ch,"Luljeta Selimi, fondatrice","Gestion des polices et sinistres avec décisionnaire identifié.",https://alphaoffice-gva.ch/,not_obtained,not_contacted,true,2026-07-12
P2,CA3P Sàrl,GE,Chêne-Bourg,https://www.ca3p.ch/,conseils@ca3p.ch,,"Cabinet indépendant couvrant assurance, prévoyance et patrimoine.",https://www.ca3p.ch/a-propos.html,not_obtained,not_contacted,true,2026-07-12
P1,Overall SA,VD,Lausanne,https://overall-sa.ch/,info@overall-sa.ch,"Fabien Herrscher, fondateur","Plus de 1 100 clients annoncés et offre assurance, financement, prévoyance et PME.",https://overall-sa.ch/,not_obtained,not_contacted,true,2026-07-12
P2,RS Assurances Sàrl,VD,Lausanne,https://www.rsassurances.ch/,info@rsassurances.ch,,"Courtage indépendant multi-produits pour privés et entreprises.",https://www.rsassurances.ch/,not_obtained,not_contacted,true,2026-07-12
P1,Life Partner SARL,FR,Bulle,https://lifepartner.ch/,info@lifepartner.ch,"Aurélien Guyon, directeur","Plus de 500 familles annoncées, équipe publiée et culture numérique visible.",https://lifepartner.ch/a-propos/,not_obtained,not_contacted,true,2026-07-12
P2,Scheidegger Gestion,FR,Echarlens,https://www.scheidegger-gestion.ch/,contact@scheidegger-gestion.ch,"Thierry Scheidegger, fondateur","Clients privés et PME avec assurance, prévoyance et hypothèques.",https://www.scheidegger-gestion.ch/,not_obtained,not_contacted,true,2026-07-12
P1,H&S Assurances Sàrl,NE,La Chaux-de-Fonds / Neuchâtel,https://hs-assurances.ch/,info@hs-assurances.ch,"Roberto Scaffidi, directeur","Deux bureaux et plusieurs collaborateurs : collaboration et vue portefeuille commune.",https://hs-assurances.ch/contact/,not_obtained,not_contacted,true,2026-07-12
P1,Artfinance Sàrl,NE,La Chaux-de-Fonds,https://www.artfinance.ch/,info@artfinance.ch,"Mauro Montemagno, directeur","Quatre experts et plus de 2 500 clients annoncés : documents, renouvellements et opportunités.",https://www.artfinance.ch/contact,not_obtained,not_contacted,true,2026-07-12
P1,Jansen + Partners SA,NE,Saint-Blaise,https://jpsa.ch/,https://jpsa.ch/contact-jansen-partners-sa/,"Jan Jansen, courtier associé","Cinq courtiers-associés et workflows de primes, assureurs, renouvellements et sinistres documentés.",https://jpsa.ch/mandat-de-gestion/,not_obtained,not_contacted,true,2026-07-12
P1,CCA Sàrl,VS,Martigny,https://ccasarl.ch/,info@ccasarl.ch,"Georges Oca, direction","Cabinet établi, clientèle entreprise et privée, portefeuille, sinistres et LPP.",https://ccasarl.ch/contact/,not_obtained,not_contacted,true,2026-07-12
P2,Opposite Concept SA,VS,Sion,https://conseil-assurances-valais.ch/,https://conseil-assurances-valais.ch/,,"Courtage indépendant multi-compagnies pour privés et entreprises.",https://conseil-assurances-valais.ch/,not_obtained,not_contacted,true,2026-07-12
P1,MCS Conseils Sàrl,JU,Porrentruy,https://mcsconseils.ch/,info@mcsconseils.ch,"Christopher Erard, administrateur","Six personnes publiées, clientèle PME et collectivités, sinistres et démarches administratives.",https://mcsconseils.ch/contact/,not_obtained,not_contacted,true,2026-07-12
