ENTITY,TOPIC,SUBTOPIC,QUERY,INTENT,FUNNEL,COUNTRY,PERSONA,PRODUCT_FIT,CURRENT_URL,URL_PUBLIEE,SERP_TYPE,COMPETITION_OBSERVED,UNIQUE_VALUE_AVAILABLE,DECISION
courtier,CRM,coeur produit,crm courtier assurance,commerciale,decision,FR,courtier indépendant,"vérifiée (dossier client, pipeline, tâches)",/fr/crm-courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,CRM,coeur produit,logiciel courtier assurance,commerciale,decision,FR,courtier indépendant,vérifiée (produit complet),/fr/logiciel-courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,CRM,synonymes,logiciel courtage assurance,commerciale,decision,FR,cabinet,vérifiée,/fr/logiciel-courtier-assurance,oui,observée (8 résultats),"assur3d.com, creatio.com, custy.com, francelogidev.fr",intention servie par une page existante (fusion décidée),MERGED
courtier,CRM,synonymes,crm assurance,commerciale,decision,FR,courtier,partielle (pas de matière distincte),/fr/crm-courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr",intention servie par une page existante (fusion décidée),MERGED
courtier,CRM,famille,crm cabinet assurance,commerciale,decision,FR,cabinet,partielle,/fr/crm-courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr",intention servie par une page existante (fusion décidée),MERGED
courtier,CRM,famille,logiciel cabinet de courtage,commerciale,decision,FR,cabinet,vérifiée,/fr/logiciel-courtier-assurance,oui,observée (8 résultats),"assur3d.com, creatio.com, custy.com, francelogidev.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,CRM,famille,outil courtier assurance,commerciale,comparaison,FR,courtier indépendant,vérifiée,/fr/outil-courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,CRM,famille,plateforme courtier assurance,commerciale,comparaison,FR,cabinet,vérifiée,/fr/outil-courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr",intention servie par une page existante (fusion décidée),MERGED
courtier,CRM,famille,logiciel gestion courtier,commerciale,decision,FR,courtier,vérifiée,/fr/logiciel-courtier-assurance,oui,observée (8 résultats),"assur3d.com, creatio.com, custy.com, francelogidev.fr",intention servie par une page existante (fusion décidée),MERGED
intermediaire,CRM,pays,crm courtier assurance suisse,commerciale,decision,CH,courtier romand,vérifiée,/ch/crm-courtier-assurance-suisse,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
intermediaire,CRM,pays,logiciel courtier suisse,commerciale,decision,CH,courtier romand,vérifiée,/ch/logiciel-courtier-assurance-suisse,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
intermediaire,CRM,pays,logiciel courtage suisse,commerciale,decision,CH,courtier romand,vérifiée,/ch/logiciel-courtier-assurance-suisse,oui,observée (8 résultats),"assur3d.com, creatio.com, custy.com, francelogidev.fr",intention servie par une page existante (fusion décidée),MERGED
intermediaire,CRM,vocabulaire,logiciel intermédiaire assurance suisse,commerciale,decision,CH,intermédiaire,vérifiée,/ch/logiciel-intermediaire-assurance-suisse,oui,observée (8 résultats),"assur3d.com, creatio.com, custy.com, francelogidev.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
