organization,domain,country,tier,type,relevance,audience,credibility,contactability,asset_fit,link_opportunity,score_100,contact_name,role,email,email_source,contact_form,recent_content,proposed_angle,proposed_asset,target_url,status,last_action,next_action,live_coverage,live_backlink
PLANETE CSCA,planetecsca.fr,FR,1,syndicat patronal du courtage,30,20,20,8,9,8,95,presse / communication,equipe communication,,page contact du site,oui,"« Le courtage d'assurances, le courage d'assurer – Jean-François Cousin » (11/09/2026)",voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
Sycra,sycra.fr,FR,1,syndicat de courtiers,30,18,18,8,8,8,90,secretariat,secretariat du syndicat,,page contact du site,oui,« Le Mot du Président – Août 2026 » et le MagaSYne d'ete sur la conformite,voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
La Tribune de l Assurance,tribune-assurance.optionfinance.fr,FR,1,presse professionnelle,28,19,20,6,8,8,89,redaction,redaction,,page contact du media,oui,"« Quand l'IA comble le fosse entre gestionnaires et sinistres » et « Sans une modernisation des fondations Tech, l'IA ne pourra pas se deployer en assurance »",voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
News Assurances Pro,newsassurancespro.com,FR,1,presse professionnelle,28,19,20,6,8,7,88,redaction,redaction,,site refuse les robots : contact a recuperer dans un navigateur,oui,media dedie au secteur de l assurance (verifie en ligne),voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
Courtage Magazine,courtage-magazine.fr,FR,2,presse specialisee courtage,28,18,17,8,10,9,90,Laurent Lemonnier,gerant,bienvenue@isoluce.net,mentions legales du site,oui,"« Migration CRM courtier : la checklist de reprise des dossiers » et « Connecter comparateur, CRM et ... »",voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
ACA — Association des Courtiers en Assurances,aca-courtiers.ch,CH,1,association professionnelle suisse,30,20,18,8,9,8,93,secretariat,secretariat,secretariat@aca-courtiers.ch,lien mailto publie sur le site,oui,"association faîtiere des courtiers suisses, rubrique avantages membres",voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
The Broker News,thebrokernews.ch,CH,2,magazine suisse assurance et courtage,28,18,18,6,9,8,87,redaction,redaction,,page contact du media,oui,"magazine en ligne independant : actualites quotidiennes, analyses, interviews pratiques, InsurTech",voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
Digital et Assurance,digital-et-assurance.com,FR,2,media digitalisation assurance,28,17,17,7,9,8,86,Alexandre Pengloan,editeur,alexandre.pengloan@gmail.com,lien mailto publie sur le site,oui,analyses sur la digitalisation et interviews de dirigeants (verifie en ligne),voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
CNCEF Assurance,cncef.org,FR,2,association professionnelle,26,17,17,6,8,6,80,secretariat,secretariat,,page contact du site,oui,association professionnelle assurance (page CNCEF Assurance),voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
CSCA — Chambre Syndicale des Courtiers d Assurances,adppc.fr,FR,2,syndicat,28,18,17,6,8,6,83,secretariat,secretariat,,page contact du site,oui,presentation des courtiers d assurance en pret immobilier,voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
