requete_source,type,domaine,titre,url_publique,audience,angle,asset_courtia,priorite
association courtiers assurance France federation syndicat,association FR,planetecsca.fr,Accueil - PLANETE CSCA,https://www.planetecsca.fr/,,,,
association courtiers assurance France federation syndicat,association FR,codecourtage.fr,Les principaux syndicats des courtiers en assurances en France,https://codecourtage.fr/syndicats-courtiers-assurances-france/,,,,
association courtiers assurance France federation syndicat,association FR,data.bnf.fr,Fédération française des courtiers d'assurances et de réassurances,https://data.bnf.fr/fr/12270848/federation_francaise_des_courtiers_d_assurances_et_de_reassurances/,,,,
association courtiers assurance France federation syndicat,association FR,acpr.banque-france.fr,Associations de courtiers | Autorité de contrôle prudentiel et de résolution,https://acpr.banque-france.fr/fr/professionnels/lacpr-vous-accompagne/intermediaires/associations-de-courtiers,,,,
association courtiers assurance France federation syndicat,association FR,franceassureurs.fr,France Assureurs - Faire avancer la société en confiance,https://www.franceassureurs.fr/,,,,
association courtiers assurance France federation syndicat,association FR,youtube.com,SMART IMPACT - Comment faire des courtiers d'assurances des acteurs ...,https://www.youtube.com/watch?v=BpH0jAUyE1U,,,,
média spécialisé assurance courtage France journal,média FR,agence-api.ouest-france.fr,Assurance. Media courtage lancé sur une forte croissance sur un marché très concurrentiel,https://agence-api.ouest-france.fr/banques-finance/assurance/assurance-media-courtage-lance-sur-une-forte-croissance-sur-un-marche-tres-concurrentiel-2e3a39ab-8fac-4ff9-a81a-499faa25c894,,,,
média spécialisé assurance courtage France journal,média FR,ascourtage.fr,Espace presse du courtier en assurance Ascourtage.fr,https://www.ascourtage.fr/la-presse-en-parle.html,,,,
média spécialisé assurance courtage France journal,média FR,netvox-assurances.fr,La presse Netvox | Courtier en assurance - NetVox,https://www.netvox-assurances.fr/communication/presse/,,,,
média spécialisé assurance courtage France journal,média FR,newsassurancespro.com,"News Assurances Pro, le média dédié au secteur de l’assurance",https://www.newsassurancespro.com/,,,,
média spécialisé assurance courtage France journal,média FR,courtage-magazine.fr,Actualités du courtage - Courtage Magazine,https://courtage-magazine.fr/,,,,
média spécialisé assurance courtage France journal,média FR,digital-et-assurance.com,Presse spécialisée assurance : 50+ sources référencées,https://www.digital-et-assurance.com/analyses/presse-specialisee-assurance/,,,,
podcast assurance courtage France,podcast FR,antoinegandois.fr,Antoine GANDOIS  | ASSURANCE EN COULISSES - LE PODCAST,https://www.antoinegandois.fr/assurance-en-coulisses,,,,
podcast assurance courtage France,podcast FR,podcastics.com,J'assure en assurances • Podcast • Verspieren,https://www.podcastics.com/podcast/jassure-en-assurances/,,,,
podcast assurance courtage France,podcast FR,shows.acast.com,Diot-Siaci podcast,https://shows.acast.com/diotsiaci-podcast,,,,
podcast assurance courtage France,podcast FR,jassuremonfutur.fr,Découvrez la série de podcasts du courtage en assurances,https://www.jassuremonfutur.fr/actualites/decouvrez-la-serie-de-podcasts-du-courtage-en-assurances,,,,
podcast assurance courtage France,podcast FR,kereis-solutions.com,La Kapsule : le podcast des courtiers,https://www.kereis-solutions.com/actualites/la-kapsule-le-podcast-qui-va-a-la-rencontre-des-courtiers-en-assurance/,,,,
podcast assurance courtage France,podcast FR,podcast.ausha.co,DÉCRYPTE L'ASSURANCE : JINGLE | Decrypte l'Assurance : Le Podcast qui rend l'assurance (Presque) sexy | Ausha,https://podcast.ausha.co/decrypte-l-assurance-le-podcast-qui-rend-l-assurance-presque-sexy/decrypte-l-assurance-jingle,,,,
organisme formation courtier assurance France DDA,formation FR,planetecscarh.fr,Qui sommes-nous ? | PLANETE CSCA RH,https://planetecscarh.fr/qui-sommes-nous,,,,
organisme formation courtier assurance France DDA,formation FR,courtage-academy.com,Formations Courtiers en Assurance – IAS et DDA dès 134€ - Courtage Academy,https://www.courtage-academy.com/nos-formations-ias,,,,
organisme formation courtier assurance France DDA,formation FR,orica.fr,Formation DDA - Directive sur la Distribution d’Assurance - ORICA Formation 15 heures,https://www.orica.fr/formation-dda-directive-sur-la-distribution-dassurance,,,,
organisme formation courtier assurance France DDA,formation FR,fincup.fr,Courtier en assurance : formation annuelle obligatoire IAS (15h) | Directive DDA - Finc'Up,https://www.fincup.fr/formation-assurances-dda,,,,
organisme formation courtier assurance France DDA,formation FR,orica.fr,Formation courtier en assurance - niveau 1 à 3 et DDA - niveau 1 à 3 et DDA,https://www.orica.fr/formation-courtier-en-assurance-ias,,,,
organisme formation courtier assurance France DDA,formation FR,formations-obligatoires.fr,"Formations courtier en assurance : DDA, IAS, LCB-FT – Formations Obligatoires",https://formations-obligatoires.fr/formation-courtier-assurance,,,,
association intermédiaires assurance suisse courtiers,association CH,aca-courtiers.ch,ACA – Association des Courtiers en Assurances – Une association ...,https://aca-courtiers.ch/,,,,
association intermédiaires assurance suisse courtiers,association CH,finma.ch,Intermédiaires d'assurance | FINMA,https://www.finma.ch/fr/autorisation/intermediation-dassurance/,,,,
association intermédiaires assurance suisse courtiers,association CH,rts.ch,Attention aux méthodes abusives de certains courtiers en assurance - RTS,https://www.rts.ch/info/suisse/14405612-attention-aux-methodes-abusives-de-certains-courtiers-en-assurance.html,,,,
association intermédiaires assurance suisse courtiers,association CH,vcw.ch,Votre partenaire de confiance en matière d'assurance. | VCW,https://vcw.ch/fr/,,,,
association intermédiaires assurance suisse courtiers,association CH,medcourtage.ch,MedCourtage: Courtier en assurance médicale en Suisse,https://medcourtage.ch/,,,,
association intermédiaires assurance suisse courtiers,association CH,facebook.com,ACA Courtiers (@acacourtiers) - Facebook,https://www.facebook.com/acacourtiers/,,,,
média assurance suisse romande courtage,média CH,romandiecourtage.ch,Home,https://www.romandiecourtage.ch/,,,,
média assurance suisse romande courtage,média CH,swiss-courtage.ch,Courtier en assurances en Suisse romande — Swiss-Courtage,https://www.swiss-courtage.ch/,,,,
média assurance suisse romande courtage,média CH,swissriskcare.ch,"Courtier d'assurance, Qualibroker-Swiss Risk & Care : prévoyance entreprise Suisse",https://www.swissriskcare.ch/,,,,
média assurance suisse romande courtage,média CH,promaxis.ch,Référencement local courtier en assurance : visible en Romandie - Promaxis,https://promaxis.ch/referencement-local-courtier-assurance-suisse-romande/,,,,
média assurance suisse romande courtage,média CH,rts.ch,Attention aux méthodes abusives de certains courtiers en assurance,https://www.rts.ch/info/suisse/14405612-attention-aux-methodes-abusives-de-certains-courtiers-en-assurance.html,,,,
média assurance suisse romande courtage,média CH,promaxis.ch,Site internet courtier assurance Suisse romande : 0 demande ? - Promaxis,https://promaxis.ch/site-internet-courtier-assurance-suisse-romande/,,,,
consultant organisation cabinet courtage assurance France,consultant FR,sbc-consulting.fr,SANA Business Consulting - SBC | Conseil IT/Business et organisation en assurance,https://sbc-consulting.fr/,,,,
consultant organisation cabinet courtage assurance France,consultant FR,conseil.onlynnov.com,Onlynnov Conseil | Cabinet de courtage en assurance,https://conseil.onlynnov.com/,,,,
consultant organisation cabinet courtage assurance France,consultant FR,facfr.fr,France Assurance Consultants,https://facfr.fr/,,,,
consultant organisation cabinet courtage assurance France,consultant FR,babyloneconsulting.fr,"Cabinet de conseil assurance | Assureurs, mutuelles & prévoyance",https://www.babyloneconsulting.fr/,,,,
consultant organisation cabinet courtage assurance France,consultant FR,cabinetjulien.com,Cabinet Julien : expert en gestion des risques et assurances,https://www.cabinetjulien.com/,,,,
consultant organisation cabinet courtage assurance France,consultant FR,consultys-assurances.com,Le Cabinet - Consultys Assurances - Courtier en assurance,https://consultys-assurances.com/cabinet-consultys,,,,
événement salon assurance courtage France,événement FR,cncef.org,CNCEF présente aux Journées du Courtage en septembre 2026,https://www.cncef.org/actualites/cncef-presente-aux-journees-du-courtage-en-septembre-2026,,,,
événement salon assurance courtage France,événement FR,smabtp.fr,SMABTP vous donne rendez-vous au salon H’Expo en septembre prochain,https://www.smabtp.fr/sma/assurance/actualite/smabtp-vous-donne-rendez-vous-au-salon-h-expo-a-bordeaux-2026,,,,
événement salon assurance courtage France,événement FR,planetecsca.fr,Onze Bis Festival : découvrez le programme des challenges et talks - PLANETE CSCA,https://www.planetecsca.fr/actualites/evenements/onze-bis-festival-2026-courtage-assurance-programme,,,,
événement salon assurance courtage France,événement FR,francetransactions.com,"Les Journées du Courtage, 23e édition, le salon professionnel des courtiers en assurance (vie, santé, IARD) - FranceTran",https://www.francetransactions.com/actus/assurancevie/journees-du-courtage-salon-professionnel-courtiers-assurances.html,,,,
événement salon assurance courtage France,événement FR,assureurpro.com,Les Rendez-vous du Courtage 2027 à Marseille,https://assureurpro.com/event/rendez-vous-du-courtage-de-marseille,,,,
événement salon assurance courtage France,événement FR,courtier.sollyazar.com,Événement | Assurance Courtier Solly Azar Pro,https://courtier.sollyazar.com/taxonomy/term/308,,,,
