URL,PAYS,CLUSTER,INTENTION,TITLE,H1,META,CANONICAL,SCHEMA,LIENS_ENTRANTS,LIENS_SORTANTS,CTA,STATUT,DATE_PUBLICATION,DATE_QA,INDEXABLE,IMPRESSIONS,CLICS,CONVERSIONS
https://courtiark.fr/ch,Suisse,Accueil du silo Suisse,Navigation / hub,Logiciel et CRM pour courtiers d'assurance en Suisse — COURTIA,Logiciel et CRM pour courtiers d'assurance en Suisse,"COURTIA, cockpit IA pour courtiers d'assurance en Suisse : registre FINMA (LSA), devoir d'information, commissions, nLPD. Tarifs en CHF : 199 Indépendant, 349 Cabinet.",https://courtiark.fr/ch,"Answer,BreadcrumbList,Country,FAQPage,ListItem,Offer,Organization,Question,SoftwareApplication","ch/automatisation-courtier-assurance-suisse,ch/conformite-intermediaire-assurance-lsa-finma,ch/crm-courtier-assurance-suisse,ch/gestion-commissions-courtier-assurance-suisse,ch/gestion-portefeuille-assurance-suisse,ch/ia-courtier-assurance-suisse,ch/logiciel-courtier-assurance-suisse,ch/logiciel-devis-courtier-assurance-suisse,ch/logiciel-prospection-courtier-assurance-suisse,ch/relances-courtier-assurance-suisse,ch/tarifs-logiciel-courtier-chf,fr/automatisation-courtier-assurance,fr/crm-courtier-assurance,fr/gagner-du-temps-courtier-assurance,fr/ia-courtier-assurance,fr/logiciel-courtier-assurance","/,/ch,/ch/automatisation-courtier-assurance-suisse,/ch/conformite-intermediaire-assurance-lsa-finma,/ch/crm-courtier-assurance-suisse,/ch/gestion-commissions-courtier-assurance-suisse,/ch/gestion-portefeuille-assurance-suisse,/ch/ia-courtier-assurance-suisse,/ch/logiciel-courtier-assurance-suisse,/ch/logiciel-devis-courtier-assurance-suisse,/ch/logiciel-prospection-courtier-assurance-suisse,/ch/relances-courtier-assurance-suisse,/ch/tarifs-logiciel-courtier-chf,/contact,/demo,/fonctionnalites,/legal/confidentialite,/legal/mentions-legales,/tarifs",,En ligne (statique prerendu),2026-09-22,2026-09-22,OUI,,,
https://courtiark.fr/ch/automatisation-courtier-assurance-suisse,Suisse,Automatisation CH,Commercial — automatisation courtier Suisse,"Automatisation pour courtiers suisses : échéances, pièces, commissions — COURTIA",Automatisation d'un cabinet de courtage en Suisse : par où commencer,"Automatiser un cabinet de courtage en Suisse : échéances, collecte de pièces, relances, commissions et documentation de conseil. COURTIA, en francs suisses, essai 7 jours.",https://courtiark.fr/ch/automatisation-courtier-assurance-suisse,"Answer,BreadcrumbList,Country,FAQPage,ListItem,Organization,Question,SoftwareApplication","ch,ch/conformite-intermediaire-assurance-lsa-finma,ch/crm-courtier-assurance-suisse,ch/gestion-commissions-courtier-assurance-suisse,ch/gestion-portefeuille-assurance-suisse,ch/ia-courtier-assurance-suisse,ch/logiciel-courtier-assurance-suisse,ch/logiciel-devis-courtier-assurance-suisse,ch/logiciel-prospection-courtier-assurance-suisse,ch/relances-courtier-assurance-suisse,ch/tarifs-logiciel-courtier-chf,fr/automatisation-courtier-assurance,fr/crm-courtier-assurance,fr/gagner-du-temps-courtier-assurance,fr/ia-courtier-assurance,fr/logiciel-courtier-assurance","/,/ch,/ch/automatisation-courtier-assurance-suisse,/ch/gestion-commissions-courtier-assurance-suisse,/ch/gestion-portefeuille-assurance-suisse,/ch/logiciel-courtier-assurance-suisse,/ch/relances-courtier-assurance-suisse,/contact,/demo,/demo-public,/favicon.svg,/fonctionnalites,/fr,/fr/automatisation-courtier-assurance,/legal/conditions-utilisation,/legal/confidentialite,/legal/mentions-legales,/onboarding,/rgpd,/securite,/status,/tarifs",,En ligne (statique prerendu),2026-09-22,2026-09-22,OUI,,,
https://courtiark.fr/ch/conformite-intermediaire-assurance-lsa-finma,Suisse,Conformité CH,Informationnel — conformité intermédiaire d'assurance (LSA),Conformité courtier d'assurance en Suisse : obligations LSA et FINMA,Conformité d'un courtier d'assurance en Suisse : ce que la LSA et la FINMA exigent,"Obligations réelles des intermédiaires d'assurance en Suisse depuis le 1er janvier 2024 : art. 45 et 45b LSA, registre FINMA, EHP, taxe de 475 CHF, nLPD. Sources officielles citées.",https://courtiark.fr/ch/conformite-intermediaire-assurance-lsa-finma,"Article,BreadcrumbList,ImageObject,ListItem,Organization,WebPage","ch,ch/automatisation-courtier-assurance-suisse,ch/crm-courtier-assurance-suisse,ch/gestion-commissions-courtier-assurance-suisse,ch/gestion-portefeuille-assurance-suisse,ch/ia-courtier-assurance-suisse,ch/logiciel-courtier-assurance-suisse,ch/logiciel-devis-courtier-assurance-suisse,ch/logiciel-prospection-courtier-assurance-suisse,ch/relances-courtier-assurance-suisse,ch/tarifs-logiciel-courtier-chf,fr/automatisation-courtier-assurance,fr/crm-courtier-assurance,fr/gagner-du-temps-courtier-assurance,fr/ia-courtier-assurance,fr/logiciel-courtier-assurance","/,/ch,/ch/conformite-intermediaire-assurance-lsa-finma,/ch/crm-courtier-assurance-suisse,/ch/gestion-commissions-courtier-assurance-suisse,/ch/gestion-portefeuille-assurance-suisse,/ch/ia-courtier-assurance-suisse,/ch/logiciel-devis-courtier-assurance-suisse,/ch/logiciel-prospection-courtier-assurance-suisse,/ch/relances-courtier-assurance-suisse,/ch/tarifs-logiciel-courtier-chf,/contact,/demo,/legal/confidentialite,/legal/mentions-legales",,En ligne (statique prerendu),2026-09-22,2026-09-22,OUI,,,
https://courtiark.fr/ch/crm-courtier-assurance-suisse,Suisse,CRM CH,Commercial — CRM courtier assurance Suisse,CRM pour courtier d'assurance en Suisse : le dossier client 360° — COURTIA,CRM pour courtier d'assurance en Suisse : le dossier client en un écran,"Fiche client 360°, historique du dossier, contrats, devis, documents, activité et recommandations ARK dans un seul écran, pour un cabinet suisse.",https://courtiark.fr/ch/crm-courtier-assurance-suisse,"Answer,BreadcrumbList,FAQPage,ListItem,Organization,Question","ch,ch/automatisation-courtier-assurance-suisse,ch/conformite-intermediaire-assurance-lsa-finma,ch/gestion-commissions-courtier-assurance-suisse,ch/gestion-portefeuille-assurance-suisse,ch/ia-courtier-assurance-suisse,ch/logiciel-courtier-assurance-suisse,ch/logiciel-devis-courtier-assurance-suisse,ch/logiciel-prospection-courtier-assurance-suisse,ch/relances-courtier-assurance-suisse,ch/tarifs-logiciel-courtier-chf,fr/automatisation-courtier-assurance,fr/crm-courtier-assurance,fr/gagner-du-temps-courtier-assurance,fr/ia-courtier-assurance,fr/logiciel-courtier-assurance","/,/ch,/ch/conformite-intermediaire-assurance-lsa-finma,/ch/crm-courtier-assurance-suisse,/ch/gestion-commissions-courtier-assurance-suisse,/ch/gestion-portefeuille-assurance-suisse,/ch/ia-courtier-assurance-suisse,/ch/logiciel-devis-courtier-assurance-suisse,/ch/logiciel-prospection-courtier-assurance-suisse,/ch/relances-courtier-assurance-suisse,/ch/tarifs-logiciel-courtier-chf,/contact,/demo,/fonctionnalites,/legal/confidentialite,/legal/mentions-legales",,En ligne (statique prerendu),2026-09-22,2026-09-22,OUI,,,
https://courtiark.fr/ch/gestion-commissions-courtier-assurance-suisse,Suisse,Commissions CH,Commercial — gestion commissions Suisse,Gestion des commissions d'un courtier d'assurance en Suisse — COURTIA,"Gestion des commissions d'un courtier d'assurance en Suisse : attendu, encaissé, à suivre","Suivez les commissions attendues, encaissées et à réclamer, par compagnie et par apporteur, dans le même outil que vos contrats suisses.",https://courtiark.fr/ch/gestion-commissions-courtier-assurance-suisse,"Answer,BreadcrumbList,FAQPage,ListItem,Organization,Question","ch,ch/automatisation-courtier-assurance-suisse,ch/conformite-intermediaire-assurance-lsa-finma,ch/crm-courtier-assurance-suisse,ch/gestion-portefeuille-assurance-suisse,ch/ia-courtier-assurance-suisse,ch/logiciel-courtier-assurance-suisse,ch/logiciel-devis-courtier-assurance-suisse,ch/logiciel-prospection-courtier-assurance-suisse,ch/relances-courtier-assurance-suisse,ch/tarifs-logiciel-courtier-chf,fr/automatisation-courtier-assurance,fr/crm-courtier-assurance,fr/gagner-du-temps-courtier-assurance,fr/ia-courtier-assurance,fr/logiciel-courtier-assurance","/,/ch,/ch/conformite-intermediaire-assurance-lsa-finma,/ch/crm-courtier-assurance-suisse,/ch/gestion-commissions-courtier-assurance-suisse,/ch/gestion-portefeuille-assurance-suisse,/ch/ia-courtier-assurance-suisse,/ch/logiciel-devis-courtier-assurance-suisse,/ch/logiciel-prospection-courtier-assurance-suisse,/ch/relances-courtier-assurance-suisse,/ch/tarifs-logiciel-courtier-chf,/contact,/demo,/fonctionnalites,/legal/confidentialite,/legal/mentions-legales",,En ligne (statique prerendu),2026-09-22,2026-09-22,OUI,,,
https://courtiark.fr/ch/gestion-portefeuille-assurance-suisse,Suisse,Portefeuille CH,Commercial — gestion portefeuille assurance Suisse,Gestion de portefeuille d'assurance en Suisse — contrats et échéances | COURTIA,"Gestion de portefeuille d'assurance en Suisse : contrats, échéances, renouvellements","Contrats, échéances 30/60/90 jours, renouvellements et concentration par branche : un seul écran pour piloter un portefeuille de courtage suisse.",https://courtiark.fr/ch/gestion-portefeuille-assurance-suisse,"Answer,BreadcrumbList,FAQPage,ListItem,Organization,Question","ch,ch/automatisation-courtier-assurance-suisse,ch/conformite-intermediaire-assurance-lsa-finma,ch/crm-courtier-assurance-suisse,ch/gestion-commissions-courtier-assurance-suisse,ch/ia-courtier-assurance-suisse,ch/logiciel-courtier-assurance-suisse,ch/logiciel-devis-courtier-assurance-suisse,ch/logiciel-prospection-courtier-assurance-suisse,ch/relances-courtier-assurance-suisse,ch/tarifs-logiciel-courtier-chf,fr/automatisation-courtier-assurance,fr/crm-courtier-assurance,fr/gagner-du-temps-courtier-assurance,fr/ia-courtier-assurance,fr/logiciel-courtier-assurance","/,/ch,/ch/conformite-intermediaire-assurance-lsa-finma,/ch/crm-courtier-assurance-suisse,/ch/gestion-commissions-courtier-assurance-suisse,/ch/gestion-portefeuille-assurance-suisse,/ch/ia-courtier-assurance-suisse,/ch/logiciel-devis-courtier-assurance-suisse,/ch/logiciel-prospection-courtier-assurance-suisse,/ch/relances-courtier-assurance-suisse,/ch/tarifs-logiciel-courtier-chf,/contact,/demo,/fonctionnalites,/legal/confidentialite,/legal/mentions-legales",,En ligne (statique prerendu),2026-09-22,2026-09-22,OUI,,,
https://courtiark.fr/ch/ia-courtier-assurance-suisse,Suisse,IA CH,Commercial — IA courtier assurance Suisse,"IA pour courtier d'assurance en Suisse — ARK, l'assistance de COURTIA","IA pour courtier d'assurance en Suisse : ARK trie, vous décidez","ARK trie chaque matin un portefeuille suisse : clients à risque de perte, couvertures manquantes, renouvellements sous 90 jours. Le courtier valide chaque action.",https://courtiark.fr/ch/ia-courtier-assurance-suisse,"Answer,BreadcrumbList,FAQPage,ListItem,Organization,Question","ch,ch/automatisation-courtier-assurance-suisse,ch/conformite-intermediaire-assurance-lsa-finma,ch/crm-courtier-assurance-suisse,ch/gestion-commissions-courtier-assurance-suisse,ch/gestion-portefeuille-assurance-suisse,ch/logiciel-courtier-assurance-suisse,ch/logiciel-devis-courtier-assurance-suisse,ch/logiciel-prospection-courtier-assurance-suisse,ch/relances-courtier-assurance-suisse,ch/tarifs-logiciel-courtier-chf,fr/automatisation-courtier-assurance,fr/crm-courtier-assurance,fr/gagner-du-temps-courtier-assurance,fr/ia-courtier-assurance,fr/logiciel-courtier-assurance","/,/ch,/ch/conformite-intermediaire-assurance-lsa-finma,/ch/crm-courtier-assurance-suisse,/ch/gestion-commissions-courtier-assurance-suisse,/ch/gestion-portefeuille-assurance-suisse,/ch/ia-courtier-assurance-suisse,/ch/logiciel-devis-courtier-assurance-suisse,/ch/logiciel-prospection-courtier-assurance-suisse,/ch/relances-courtier-assurance-suisse,/ch/tarifs-logiciel-courtier-chf,/contact,/demo,/fonctionnalites,/legal/confidentialite,/legal/mentions-legales",,En ligne (statique prerendu),2026-09-22,2026-09-22,OUI,,,
https://courtiark.fr/ch/logiciel-courtier-assurance-suisse,Suisse,Logiciel de courtage CH,Commercial — logiciel courtier assurance Suisse,"Logiciel courtier assurance Suisse : dossier client, LSA, CHF — COURTIA","Logiciel de courtage pour la Suisse : la même rigueur, dans le cadre suisse","COURTIA pour les courtiers et intermédiaires d'assurance suisses : dossier client, contrats, échéances, commissions, journal de conseil, facturation en CHF. Essai 7 jours.",https://courtiark.fr/ch/logiciel-courtier-assurance-suisse,"Answer,BreadcrumbList,Country,FAQPage,ListItem,Offer,Organization,Question,SoftwareApplication","ch,ch/automatisation-courtier-assurance-suisse,ch/conformite-intermediaire-assurance-lsa-finma,ch/crm-courtier-assurance-suisse,ch/gestion-commissions-courtier-assurance-suisse,ch/gestion-portefeuille-assurance-suisse,ch/ia-courtier-assurance-suisse,ch/logiciel-devis-courtier-assurance-suisse,ch/logiciel-prospection-courtier-assurance-suisse,ch/relances-courtier-assurance-suisse,ch/tarifs-logiciel-courtier-chf,fr/automatisation-courtier-assurance,fr/crm-courtier-assurance,fr/gagner-du-temps-courtier-assurance,fr/ia-courtier-assurance,fr/logiciel-courtier-assurance","/,/ch,/ch/automatisation-courtier-assurance-suisse,/ch/conformite-intermediaire-assurance-lsa-finma,/ch/crm-courtier-assurance-suisse,/ch/gestion-commissions-courtier-assurance-suisse,/ch/logiciel-courtier-assurance-suisse,/ch/tarifs-logiciel-courtier-chf,/contact,/demo,/demo-public,/favicon.svg,/fonctionnalites,/fr,/legal/conditions-utilisation,/legal/confidentialite,/legal/mentions-legales,/onboarding,/rgpd,/securite,/status,/tarifs",,En ligne (statique prerendu),2026-09-22,2026-09-22,OUI,,,
https://courtiark.fr/ch/logiciel-devis-courtier-assurance-suisse,Suisse,Devis CH,Commercial — devis courtier Suisse,Devis d'assurance en Suisse : produire et suivre ses propositions — COURTIA,Devis d'assurance en Suisse : produire et suivre les propositions,"Devis en cours, à relancer, potentiel, taux de transformation, comparateur de compagnies : ne laissez plus une proposition d'assurance sans réponse.",https://courtiark.fr/ch/logiciel-devis-courtier-assurance-suisse,"Answer,BreadcrumbList,FAQPage,ListItem,Organization,Question","ch,ch/automatisation-courtier-assurance-suisse,ch/conformite-intermediaire-assurance-lsa-finma,ch/crm-courtier-assurance-suisse,ch/gestion-commissions-courtier-assurance-suisse,ch/gestion-portefeuille-assurance-suisse,ch/ia-courtier-assurance-suisse,ch/logiciel-courtier-assurance-suisse,ch/logiciel-prospection-courtier-assurance-suisse,ch/relances-courtier-assurance-suisse,ch/tarifs-logiciel-courtier-chf,fr/automatisation-courtier-assurance,fr/crm-courtier-assurance,fr/gagner-du-temps-courtier-assurance,fr/ia-courtier-assurance,fr/logiciel-courtier-assurance","/,/ch,/ch/conformite-intermediaire-assurance-lsa-finma,/ch/crm-courtier-assurance-suisse,/ch/gestion-commissions-courtier-assurance-suisse,/ch/gestion-portefeuille-assurance-suisse,/ch/ia-courtier-assurance-suisse,/ch/logiciel-devis-courtier-assurance-suisse,/ch/logiciel-prospection-courtier-assurance-suisse,/ch/relances-courtier-assurance-suisse,/ch/tarifs-logiciel-courtier-chf,/contact,/demo,/fonctionnalites,/legal/confidentialite,/legal/mentions-legales",,En ligne (statique prerendu),2026-09-22,2026-09-22,OUI,,,
https://courtiark.fr/ch/logiciel-prospection-courtier-assurance-suisse,Suisse,Prospection CH,Commercial — prospection courtier Suisse,Logiciel de prospection pour courtier d'assurance en Suisse — COURTIA,Logiciel de prospection pour courtier d'assurance en Suisse,"Pipeline de prospects, potentiel estimé, statuts et prochaine action : suivez vos recommandations et votre réseau au lieu de les oublier.",https://courtiark.fr/ch/logiciel-prospection-courtier-assurance-suisse,"Answer,BreadcrumbList,FAQPage,ListItem,Organization,Question","ch,ch/automatisation-courtier-assurance-suisse,ch/conformite-intermediaire-assurance-lsa-finma,ch/crm-courtier-assurance-suisse,ch/gestion-commissions-courtier-assurance-suisse,ch/gestion-portefeuille-assurance-suisse,ch/ia-courtier-assurance-suisse,ch/logiciel-courtier-assurance-suisse,ch/logiciel-devis-courtier-assurance-suisse,ch/relances-courtier-assurance-suisse,ch/tarifs-logiciel-courtier-chf,fr/automatisation-courtier-assurance,fr/crm-courtier-assurance,fr/gagner-du-temps-courtier-assurance,fr/ia-courtier-assurance,fr/logiciel-courtier-assurance","/,/ch,/ch/conformite-intermediaire-assurance-lsa-finma,/ch/crm-courtier-assurance-suisse,/ch/gestion-commissions-courtier-assurance-suisse,/ch/gestion-portefeuille-assurance-suisse,/ch/ia-courtier-assurance-suisse,/ch/logiciel-devis-courtier-assurance-suisse,/ch/logiciel-prospection-courtier-assurance-suisse,/ch/relances-courtier-assurance-suisse,/ch/tarifs-logiciel-courtier-chf,/contact,/demo,/fonctionnalites,/legal/confidentialite,/legal/mentions-legales",,En ligne (statique prerendu),2026-09-22,2026-09-22,OUI,,,
