url,silo,lang,mots,title,title_len,meta_len,h1_nb,canonical,canonical_correct,indexable,schema,liens_sortants,liens_entrants,images,images_sans_alt,cta,http,verdict
/ch,ch,fr-CH,1385,Logiciel et CRM pour courtiers d'assurance en Suisse — COURTIA,62,167,1,https://courtiark.fr/ch,oui,oui,Answer|BreadcrumbList|Country|FAQPage|ListItem|Offer|Organization|Question|SoftwareApplication,12,32,0,0,oui,,OK
/ch/automatisation-courtier-assurance-suisse,ch,fr-CH,748,"Automatisation pour courtiers suisses : échéances, pièces, commissions — COURTIA",80,171,1,https://courtiark.fr/ch/automatisation-courtier-assurance-suisse,oui,oui,Answer|BreadcrumbList|Country|FAQPage|ListItem|Organization|Question|SoftwareApplication,10,6,0,0,oui,,OK
/ch/conformite-intermediaire-assurance-lsa-finma,ch,fr-CH,1160,Conformité courtier d'assurance en Suisse : obligations LSA et FINMA,68,153,1,https://courtiark.fr/ch/conformite-intermediaire-assurance-lsa-finma,oui,oui,Article|BreadcrumbList|ImageObject|ListItem|Organization|WebPage,11,17,0,0,oui,,OK
/ch/crm-courtier-assurance-suisse,ch,fr-CH,1085,CRM pour courtier d'assurance en Suisse : le dossier client 360° — COURTIA,74,145,1,https://courtiark.fr/ch/crm-courtier-assurance-suisse,oui,oui,Answer|BreadcrumbList|FAQPage|ListItem|Organization|Question,10,14,0,0,oui,,OK
/ch/gestion-cabinet-courtage-suisse,ch,fr-CH,606,Gestion d'un cabinet de courtage en Suisse — COURTIA,52,154,1,https://courtiark.fr/ch/gestion-cabinet-courtage-suisse,oui,oui,Answer|BreadcrumbList|Country|FAQPage|ListItem|Organization|Question|SoftwareApplication,8,4,0,0,oui,,OK
/ch/gestion-commissions-courtier-assurance-suisse,ch,fr-CH,1193,Gestion des commissions d'un courtier d'assurance en Suisse — COURTIA,69,136,1,https://courtiark.fr/ch/gestion-commissions-courtier-assurance-suisse,oui,oui,Answer|BreadcrumbList|FAQPage|ListItem|Organization|Question,11,22,0,0,oui,,OK
/ch/gestion-documentaire-courtier-assurance-suisse,ch,fr-CH,627,Gestion documentaire d'un courtier suisse : pièces et traçabilité — COURTIA,75,151,1,https://courtiark.fr/ch/gestion-documentaire-courtier-assurance-suisse,oui,oui,Answer|BreadcrumbList|Country|FAQPage|ListItem|Organization|Question|SoftwareApplication,8,5,0,0,oui,,OK
/ch/gestion-portefeuille-assurance-suisse,ch,fr-CH,1057,Gestion de portefeuille d'assurance en Suisse — contrats et échéances | COURTIA,79,145,1,https://courtiark.fr/ch/gestion-portefeuille-assurance-suisse,oui,oui,Answer|BreadcrumbList|FAQPage|ListItem|Organization|Question,11,16,0,0,oui,,OK
/ch/glossaire,ch,fr-CH,668,Glossaire suisse du courtage d'assurance — COURTIA,50,173,1,https://courtiark.fr/ch/glossaire,oui,oui,Answer|BreadcrumbList|Country|FAQPage|ListItem|Organization|Question|SoftwareApplication,9,3,0,0,oui,,OK
/ch/ia-courtier-assurance-suisse,ch,fr-CH,1384,"IA pour courtier d'assurance en Suisse — ARK, l'assistance de COURTIA",69,162,1,https://courtiark.fr/ch/ia-courtier-assurance-suisse,oui,oui,Answer|BreadcrumbList|FAQPage|ListItem|Organization|Question,11,11,0,0,oui,,OK
/ch/import-portefeuille-courtier-assurance-suisse,ch,fr-CH,583,Changer de logiciel de courtage en Suisse : reprendre son portefeuille — COURTIA,80,170,1,https://courtiark.fr/ch/import-portefeuille-courtier-assurance-suisse,oui,oui,Answer|BreadcrumbList|Country|FAQPage|ListItem|Organization|Question|SoftwareApplication,8,3,0,0,oui,,OK
/ch/logiciel-courtier-assurance-suisse,ch,fr-CH,795,"Logiciel courtier assurance Suisse : dossier client, LSA, CHF — COURTIA",71,171,1,https://courtiark.fr/ch/logiciel-courtier-assurance-suisse,oui,oui,Answer|BreadcrumbList|Country|FAQPage|ListItem|Offer|Organization|Question|SoftwareApplication,10,19,0,0,oui,,OK
/ch/logiciel-devis-courtier-assurance-suisse,ch,fr-CH,1119,Devis d'assurance en Suisse : produire et suivre ses propositions — COURTIA,75,148,1,https://courtiark.fr/ch/logiciel-devis-courtier-assurance-suisse,oui,oui,Answer|BreadcrumbList|FAQPage|ListItem|Organization|Question,11,12,0,0,oui,,OK
/ch/logiciel-intermediaire-assurance-suisse,ch,fr-CH,600,Logiciel pour intermédiaire d'assurance en Suisse — COURTIA,59,133,1,https://courtiark.fr/ch/logiciel-intermediaire-assurance-suisse,oui,oui,Answer|BreadcrumbList|Country|FAQPage|ListItem|Organization|Question|SoftwareApplication,8,7,0,0,oui,,OK
/ch/logiciel-prospection-courtier-assurance-suisse,ch,fr-CH,1143,Logiciel de prospection pour courtier d'assurance en Suisse — COURTIA,69,137,1,https://courtiark.fr/ch/logiciel-prospection-courtier-assurance-suisse,oui,oui,Answer|BreadcrumbList|FAQPage|ListItem|Organization|Question,11,11,0,0,oui,,OK
/ch/nlpd-courtier-assurance,ch,fr-CH,525,Données personnelles d'un courtier suisse : ce que la nLPD change — COURTIA,75,144,1,https://courtiark.fr/ch/nlpd-courtier-assurance,oui,oui,Answer|BreadcrumbList|Country|FAQPage|ListItem|Organization|Question|SoftwareApplication,8,6,0,0,oui,,OK
/ch/outils/calculateur-temps-administratif-suisse,ch,fr-CH,421,Calculateur du temps administratif en Suisse (CHF) — COURTIA,60,161,1,https://courtiark.fr/ch/outils/calculateur-temps-administratif-suisse,oui,oui,Answer|BreadcrumbList|Country|FAQPage|ListItem|Organization|Question|SoftwareApplication,8,1,0,0,oui,,OK
/ch/partenaires-apporteurs-courtier-assurance-suisse,ch,fr-CH,414,Partenaires et apporteurs d'un cabinet suisse — COURTIA,55,149,1,https://courtiark.fr/ch/partenaires-apporteurs-courtier-assurance-suisse,oui,oui,Answer|BreadcrumbList|Country|FAQPage|ListItem|Organization|Question|SoftwareApplication,8,1,0,0,oui,,OK
/ch/portail-client-assurance-suisse,ch,fr-CH,573,Dépôt de pièces par le preneur d'assurance en Suisse — COURTIA,62,82,1,https://courtiark.fr/ch/portail-client-assurance-suisse,oui,oui,Answer|BreadcrumbList|Country|FAQPage|ListItem|Organization|Question|SoftwareApplication,8,3,0,0,oui,,OK
/ch/relances-courtier-assurance-suisse,ch,fr-CH,1084,Relances et tâches pour courtier d'assurance en Suisse — COURTIA,64,146,1,https://courtiark.fr/ch/relances-courtier-assurance-suisse,oui,oui,Answer|BreadcrumbList|FAQPage|ListItem|Organization|Question,11,13,0,0,oui,,OK
