query_ou_page,url,t0_impressions,t0_clicks,t0_ctr,t0_position,t7,t14,t30,action,statut
courtia,,250,8,3.2,5.6,,,,suivre position et CTR,PENDING_GOOGLE
logiciel courtier iard,,10,0,0.0,59.3,,,,suivre position et CTR,PENDING_GOOGLE
courtier assurance lausanne,,9,0,0.0,58.2,,,,suivre position et CTR,PENDING_GOOGLE
"entre descartes underwriting et swiss re corporate solutions, pour traditional insurance, qui propose les meilleures solutions axées sur les courtiers pour les entreprises ? lequel devrais-je choisir ? <context> company url: https://descartesunderwriting.com/ market: france </context>",,5,0,0.0,48.6,,,,suivre position et CTR,PENDING_GOOGLE
cortia,,3,0,0.0,82.7,,,,suivre position et CTR,PENDING_GOOGLE
courtier cahors,,2,0,0.0,49.5,,,,suivre position et CTR,PENDING_GOOGLE
logiciel pour courtier en assurance,,1,0,0.0,13.0,,,,suivre position et CTR,PENDING_GOOGLE
courtier mulhouse,,1,0,0.0,22.0,,,,suivre position et CTR,PENDING_GOOGLE
logiciel pour courtier,,1,0,0.0,26.0,,,,suivre position et CTR,PENDING_GOOGLE
wintimenow,,1,0,0.0,30.0,,,,suivre position et CTR,PENDING_GOOGLE
logiciel courtier en assurance,,1,0,0.0,32.0,,,,suivre position et CTR,PENDING_GOOGLE
courtier lannion,,1,0,0.0,40.0,,,,suivre position et CTR,PENDING_GOOGLE
courtisia,,1,0,0.0,53.0,,,,suivre position et CTR,PENDING_GOOGLE
courtier haguenau,,1,0,0.0,57.0,,,,suivre position et CTR,PENDING_GOOGLE
courtier libourne,,1,0,0.0,59.0,,,,suivre position et CTR,PENDING_GOOGLE
courtier geneve,,1,0,0.0,76.0,,,,suivre position et CTR,PENDING_GOOGLE
courtpilot,,1,0,0.0,82.0,,,,suivre position et CTR,PENDING_GOOGLE
(page),/,,,,,,,,suivre indexation et trafic,PENDING_GOOGLE
(page),/logiciel-courtier-assurance,,,,,,,,suivre indexation et trafic,PENDING_GOOGLE
(page),/crm-courtier-assurance,,,,,,,,suivre indexation et trafic,PENDING_GOOGLE
(page),/fonctionnalites/assistant-ark,,,,,,,,suivre indexation et trafic,PENDING_GOOGLE
(page),/fonctionnalites/gestion-portefeuille-assurance,,,,,,,,suivre indexation et trafic,PENDING_GOOGLE
(page),/fonctionnalites/relance-devis-assurance,,,,,,,,suivre indexation et trafic,PENDING_GOOGLE
(page),/fonctionnalites/renouvellements-assurance,,,,,,,,suivre indexation et trafic,PENDING_GOOGLE
(page),/france,,,,,,,,suivre indexation et trafic,PENDING_GOOGLE
(page),/france/densite-courtage,,,,,,,,suivre indexation et trafic,PENDING_GOOGLE
(page),/etudes/courtage-assurance-france-2026,,,,,,,,suivre indexation et trafic,PENDING_GOOGLE
(page),/suisse,,,,,,,,suivre indexation et trafic,PENDING_GOOGLE
(page),/suisse/geneve,,,,,,,,suivre indexation et trafic,PENDING_GOOGLE
(page),/suisse/lausanne,,,,,,,,suivre indexation et trafic,PENDING_GOOGLE
(page),/ressources/reglementation-courtier-assurance-france,,,,,,,,suivre indexation et trafic,PENDING_GOOGLE
(page),/ressources/reglementation-intermediaire-assurance-suisse,,,,,,,,suivre indexation et trafic,PENDING_GOOGLE
(page),/outils,,,,,,,,suivre indexation et trafic,PENDING_GOOGLE
