type,valeur,pages
paragraphe,Il structure l'information et la rattache au dossier pour qu'elle soit retrouvable.,/ch/automatisation-courtier-assurance-suisse /ch/logiciel-intermediaire-assurance-suisse
paragraphe,"À l'expiration,  aucune donnée n'est supprimée  :
  le cabinet garde la consultation de ses dossiers et cesse seulement ",/ch/automatisation-courtier-assurance-suisse /ch/gestion-cabinet-courtage-suisse /ch/gestion-documentaire-courtier-assurance-suisse /ch/glossaire /ch/import-portefeuille-courtier-assurance-suisse /ch/logiciel-courtier-assurance-suisse /ch/logiciel-intermediaire-assurance-suisse /ch/nlpd-courtier-assurance /ch/outils/calculateur-temps-administratif-suisse /ch/partenaires-apporteurs-courtier-assurance-suisse /ch/portail-client-assurance-suisse /ch/reporting-pilotage-courtier-assurance-suisse /ch/sinistres-courtier-assurance-suisse /ch/workflows-courtier-assurance-suisse /fr/automatisation-courtier-assurance /fr/cartographie-courtiers-assurance-france /fr/checklists /fr/checklists/collecte-documentaire /fr/checklists/onboarding-client /fr/checklists/organisation-cabinet /fr/checklists/preparation-audit /fr/checklists/renouvellement /fr/checklists/suivi-sinistre /fr/comparateur-assurance-courtier /fr/comparatif/automatisation-vs-gestion-manuelle /fr/comparatif/crm-courtier-vs-excel /fr/comparatif/crm-specialise-vs-crm-generaliste /fr/conformite-courtier-assurance /fr/courtia-logiciel-courtage-assurance /fr/crm-courtier-assurance /fr/demo-et-essai-gratuit /fr/densite-courtage-grandes-villes-france /fr/dicter-compte-rendu-appel-assurance /fr/evaluer-crm-courtier-assurance /fr/formation-equipe-courtier-assurance /fr/gagner-du-temps-courtier-assurance /fr/gain-de-temps/commissions-et-pilotage /fr/gain-de-temps/documents-et-pieces /fr/gain-de-temps/relances-et-suivi-client /fr/gain-de-temps/renouvellements-et-echeances /fr/gain-de-temps/sinistres-et-conformite /fr/gain-de-temps/temps-administratif-et-double-saisie /fr/gestion-commissions-courtier-assurance /fr/gestion-documentaire-courtier-assurance /fr/gestion-portefeuille-courtier /fr/gestion-prospects-clients-courtier-assurance /fr/gestion-taches-cabinet-courtage /fr/glossaire /fr/glossaire/commissions /fr/glossaire/courtier-assurance /fr/glossaire/dda /fr/glossaire/devoir-de-conseil /fr/glossaire/echeance-contrat /fr/glossaire/finma /fr/glossaire/intermediaire-assurance /fr/glossaire/logiciel-courtier /fr/glossaire/nlpd /fr/glossaire/onboarding-client /fr/glossaire/pipeline /fr/glossaire/portefeuille /fr/glossaire/prospect /fr/glossaire/relance /fr/glossaire/sinistre /fr/guide/automatiser-relances-courtier /fr/guide/centraliser-dossiers-clients /fr/guide/choisir-crm-cabinet-courtage /fr/guide/integrer-ia-cabinet-courtage /fr/guide/onboarding-client-courtier /fr/guide/organiser-renouvellements-courtier /fr/guide/structurer-pipeline-courtier /fr/guide/suivre-prospects-courtier /fr/historique-corrections-courtia /fr/ia-courtier-assurance /fr/ia-gestion-documentaire-assurance /fr/import-portefeuille-courtier-assurance /fr/logiciel-courtier-assurance /fr/logiciel-courtier-auto /fr/logiciel-courtier-decennale /fr/logiciel-courtier-entreprise /fr/logiciel-courtier-equipe /fr/logiciel-courtier-habitation /fr/logiciel-courtier-renouvellements /fr/logiciel-courtier-transport-flotte /fr/logiciel-devis-courtier-assurance /fr/logiciel-gestion-cabinet-courtage /fr/mesurer-temps-administratif-cabinet /fr/methode-editoriale-courtia /fr/organisation-cabinet-courtage /fr/outil-courtier-assurance /fr/outils /fr/outils/calculateur-manipulations-administratives /fr/outils/calculateur-roi-courtia /fr/outils/calculateur-temps-administratif /fr/outils/diagnostic-automatisation-cabinet /fr/partenaires-apporteurs-courtier-assurance /fr/pipeline-kanban-courtier-assurance /fr/portail-client-courtier-assurance /fr/prioriser-dossiers-courtier-assurance /fr/reduire-double-saisie-cabinet-courtage /fr/relance-client-assurance /fr/rendez-vous-courtier-assurance /fr/reporting-pilotage-cabinet-courtage /fr/sante-portefeuille-courtier-assurance /fr/sinistres-courtier-assurance /fr/sources-courtia /fr/tarifs-logiciel-courtier /fr/whatsapp-courtier-assurance /fr/workflows-courtier-assurance /fr/workflows/collecte-de-pieces /fr/workflows/mandat-et-kyc /fr/workflows/nouveau-prospect /fr/workflows/relance-de-devis /fr/workflows/renouvellement /fr/workflows/sinistre
paragraphe,"Les fonctionnalités décrites ici sont celles qui sont
  réellement présentes dans le produit ; aucune durée ni aucun gai",/ch/automatisation-courtier-assurance-suisse /ch/gestion-cabinet-courtage-suisse /ch/gestion-documentaire-courtier-assurance-suisse /ch/glossaire /ch/import-portefeuille-courtier-assurance-suisse /ch/logiciel-courtier-assurance-suisse /ch/logiciel-intermediaire-assurance-suisse /ch/nlpd-courtier-assurance /ch/outils/calculateur-temps-administratif-suisse /ch/partenaires-apporteurs-courtier-assurance-suisse /ch/portail-client-assurance-suisse /ch/reporting-pilotage-courtier-assurance-suisse /ch/sinistres-courtier-assurance-suisse /ch/workflows-courtier-assurance-suisse /fr/automatisation-courtier-assurance /fr/cartographie-courtiers-assurance-france /fr/checklists /fr/checklists/collecte-documentaire /fr/checklists/onboarding-client /fr/checklists/organisation-cabinet /fr/checklists/preparation-audit /fr/checklists/renouvellement /fr/checklists/suivi-sinistre /fr/comparateur-assurance-courtier /fr/comparatif/automatisation-vs-gestion-manuelle /fr/comparatif/crm-courtier-vs-excel /fr/comparatif/crm-specialise-vs-crm-generaliste /fr/conformite-courtier-assurance /fr/courtia-logiciel-courtage-assurance /fr/crm-courtier-assurance /fr/demo-et-essai-gratuit /fr/densite-courtage-grandes-villes-france /fr/dicter-compte-rendu-appel-assurance /fr/evaluer-crm-courtier-assurance /fr/formation-equipe-courtier-assurance /fr/gagner-du-temps-courtier-assurance /fr/gain-de-temps/commissions-et-pilotage /fr/gain-de-temps/documents-et-pieces /fr/gain-de-temps/relances-et-suivi-client /fr/gain-de-temps/renouvellements-et-echeances /fr/gain-de-temps/sinistres-et-conformite /fr/gain-de-temps/temps-administratif-et-double-saisie /fr/gestion-commissions-courtier-assurance /fr/gestion-documentaire-courtier-assurance /fr/gestion-portefeuille-courtier /fr/gestion-prospects-clients-courtier-assurance /fr/gestion-taches-cabinet-courtage /fr/glossaire /fr/glossaire/commissions /fr/glossaire/courtier-assurance /fr/glossaire/dda /fr/glossaire/devoir-de-conseil /fr/glossaire/echeance-contrat /fr/glossaire/finma /fr/glossaire/intermediaire-assurance /fr/glossaire/logiciel-courtier /fr/glossaire/nlpd /fr/glossaire/onboarding-client /fr/glossaire/pipeline /fr/glossaire/portefeuille /fr/glossaire/prospect /fr/glossaire/relance /fr/glossaire/sinistre /fr/guide/automatiser-relances-courtier /fr/guide/centraliser-dossiers-clients /fr/guide/choisir-crm-cabinet-courtage /fr/guide/integrer-ia-cabinet-courtage /fr/guide/onboarding-client-courtier /fr/guide/organiser-renouvellements-courtier /fr/guide/structurer-pipeline-courtier /fr/guide/suivre-prospects-courtier /fr/historique-corrections-courtia /fr/ia-courtier-assurance /fr/ia-gestion-documentaire-assurance /fr/import-portefeuille-courtier-assurance /fr/logiciel-courtier-assurance /fr/logiciel-courtier-auto /fr/logiciel-courtier-decennale /fr/logiciel-courtier-entreprise /fr/logiciel-courtier-equipe /fr/logiciel-courtier-habitation /fr/logiciel-courtier-renouvellements /fr/logiciel-courtier-transport-flotte /fr/logiciel-devis-courtier-assurance /fr/logiciel-gestion-cabinet-courtage /fr/mesurer-temps-administratif-cabinet /fr/methode-editoriale-courtia /fr/organisation-cabinet-courtage /fr/outil-courtier-assurance /fr/outils /fr/outils/calculateur-manipulations-administratives /fr/outils/calculateur-roi-courtia /fr/outils/calculateur-temps-administratif /fr/outils/diagnostic-automatisation-cabinet /fr/partenaires-apporteurs-courtier-assurance /fr/pipeline-kanban-courtier-assurance /fr/portail-client-courtier-assurance /fr/prioriser-dossiers-courtier-assurance /fr/reduire-double-saisie-cabinet-courtage /fr/relance-client-assurance /fr/rendez-vous-courtier-assurance /fr/reporting-pilotage-cabinet-courtage /fr/sante-portefeuille-courtier-assurance /fr/sinistres-courtier-assurance /fr/sources-courtia /fr/tarifs-logiciel-courtier /fr/whatsapp-courtier-assurance /fr/workflows-courtier-assurance /fr/workflows/collecte-de-pieces /fr/workflows/mandat-et-kyc /fr/workflows/nouveau-prospect /fr/workflows/relance-de-devis /fr/workflows/renouvellement /fr/workflows/sinistre
paragraphe,Les liens de dépôt sont temporaires et rattachés à une demande précise du cabinet.,/ch/portail-client-assurance-suisse /fr/portail-client-courtier-assurance
paragraphe,"COURTIA suit la commission ; il ne produit ni bilan, ni décompte de TVA, ni écriture comptable.",/fr /fr/logiciel-courtier-assurance-lille
paragraphe,"La bibliothèque de processus  — quatorze enchaînements de travail détaillés, utilisables sans logiciel.",/fr /fr /fr /fr /fr /fr /fr
paragraphe,"Les checklists du cabinet  — onboarding, renouvellement, collecte documentaire, sinistre, organisation, contrôle.",/fr /fr /fr /fr /fr /fr /fr
paragraphe,Le glossaire du courtage  — quinze notions expliquées avec leur usage réel dans un cabinet.,/fr /fr /fr /fr /fr /fr /fr
paragraphe,"Gagner du temps : le cluster complet  — dix-huit tâches traitées une par une, du process manuel au process tenu.",/fr /fr /fr /fr /fr /fr /fr
paragraphe,"Pour aller plus loin 
 
  Les trois outils gratuits  — mesurer le temps administratif, calculer un seuil de rentabilité,",/fr /fr /fr /fr /fr /fr
