topic,cluster,country,persona,intent,business_value,existing_url,coverage_score,authority_value,source_requirement,target_keyword,supporting_queries,product_relevance,action
CRM courtier assurance,CRM,FR,courtier,COMMERCIAL_SOFTWARE,5,/crm-courtier-assurance,5,3,non,crm courtier assurance,,True,renforcer (page existante)
Logiciel courtier assurance,CRM,FR,courtier,COMMERCIAL_SOFTWARE,5,/logiciel-courtier-assurance,5,3,non,logiciel pour courtier en assurance,,True,renforcer (page existante)
Logiciel de courtage,CRM,FR,cabinet,COMMERCIAL_SOFTWARE,5,/logiciel-courtage-assurance,5,3,non,logiciel de courtage assurance,,True,renforcer (page existante)
Automatisation cabinet,productivite,FR,cabinet,COMMERCIAL_SOFTWARE,4,/automatisation-courtier-assurance,5,3,non,automatisation courtier assurance,,True,renforcer (page existante)
Gestion du portefeuille,portefeuille,FR,courtier,INFORMATIONAL_SOFTWARE,4,/fonctionnalites/gestion-portefeuille-assurance,5,3,non,gestion portefeuille courtier,,n/a,renforcer (page existante)
Fiche client 360,client,FR,courtier,INFORMATIONAL_SOFTWARE,4,/fonctionnalites/gestion-clients,5,3,non,fiche client courtier assurance,,True,renforcer (page existante)
Prospection,prospection,FR,courtier,INFORMATIONAL_SOFTWARE,4,/fonctionnalites/prospection-assurance,5,3,non,prospection courtier assurance,,True,renforcer (page existante)
Pipeline commercial,pipeline,FR,equipe,INFORMATIONAL_SOFTWARE,3,/guides/automatiser-suivi-prospects-assurance,5,3,non,pipeline courtier assurance,,True,renforcer (page existante)
Devis et relances,devis,FR,courtier,INFORMATIONAL_SOFTWARE,4,/fonctionnalites/relance-devis-assurance,5,3,non,relance devis assurance,,True,renforcer (page existante)
Comparaison de devis,comparaison devis,FR,courtier,INFORMATIONAL_SOFTWARE,4,/fonctionnalites/comparateur-devis-assurance,5,3,non,comparateur devis assurance courtier,,True,renforcer (page existante)
Documents clients,documents,FR,courtier,INFORMATIONAL_SOFTWARE,4,/fonctionnalites/gestion-documents-assurance,5,3,non,gestion documents courtier,,True,renforcer (page existante)
Relances clients,relances,FR,courtier,INFORMATIONAL_SOFTWARE,4,/fonctionnalites/automatisation-relances,5,3,non,relance client courtier,,True,renforcer (page existante)
Renouvellements,renouvellements,FR,courtier,INFORMATIONAL_SOFTWARE,5,/fonctionnalites/renouvellements-assurance,5,3,non,renouvellement assurance courtier,,True,renforcer (page existante)
Commissions,commissions,FR,cabinet,INFORMATIONAL_SOFTWARE,4,,0,3,non,commission courtier assurance,,True,creer sur signal GSC ou demande
Reporting cabinet,reporting,FR,dirigeant,INFORMATIONAL_SOFTWARE,3,/fonctionnalites/reporting-courtier,5,3,non,reporting cabinet courtage,,True,renforcer (page existante)
Productivite du cabinet,productivite,FR,cabinet,INFORMATIONAL_SOFTWARE,3,/outils/calculateur-productivite-courtier,5,3,non,productivite cabinet courtage,,True,renforcer (page existante)
Assistant IA metier,ARK/IA,FR,courtier,INFORMATIONAL_SOFTWARE,4,/fonctionnalites/assistant-ark,5,3,non,ia courtier assurance,,True,renforcer (page existante)
Marche France,France,FR,cabinet,INFORMATIONAL_SOFTWARE,3,/france,5,3,non,logiciel courtier assurance france,,n/a,renforcer (page existante)
Densite du courtage,etudes,FR,analyste,INFORMATIONAL_SOFTWARE,3,/etudes/courtage-assurance-france-2026,5,5,non,densite courtage france,,n/a,renforcer (page existante)
Marche Suisse romande,Suisse,CH,cabinet,COMMERCIAL_SOFTWARE,4,/suisse,5,3,non,logiciel courtier assurance suisse,,n/a,renforcer (page existante)
CRM Suisse,Suisse,CH,cabinet,COMMERCIAL_SOFTWARE,4,/suisse/crm-courtier-assurance,5,3,non,crm courtier suisse,,n/a,renforcer (page existante)
Geneve,Suisse,CH,cabinet,COMMERCIAL_SOFTWARE,3,/suisse/geneve,5,3,non,logiciel courtier geneve,,n/a,renforcer (page existante)
Lausanne,Suisse,CH,cabinet,COMMERCIAL_SOFTWARE,3,/suisse/lausanne,5,3,non,logiciel courtier lausanne,,n/a,renforcer (page existante)
Devoir de conseil,conformite,FR,courtier,INFORMATIONAL_SOFTWARE,4,/guides/devoir-de-conseil-suivi-dossier,5,5,oui,devoir de conseil courtier,,True,renforcer (page existante)
Controle ACPR,conformite,FR,courtier,INFORMATIONAL_SOFTWARE,3,/conformite/controle-acpr-courtier,5,5,oui,controle acpr courtier,,True,renforcer (page existante)
LCB-FT,conformite,FR,courtier,INFORMATIONAL_SOFTWARE,3,/conformite/lcb-ft-courtier,5,5,oui,lcb-ft courtier assurance,,True,renforcer (page existante)
IPID,conformite,CH,courtier,INFORMATIONAL_SOFTWARE,3,/conformite/ipid-document-information,5,5,oui,ipid assurance,,True,renforcer (page existante)
RGPD et donnees clients,data protection,FR,cabinet,INFORMATIONAL_SOFTWARE,3,/guides/donnees-clients-assurance-france-suisse,5,3,oui,rgpd courtier assurance,,True,renforcer (page existante)
Securite du logiciel,securite,FR,dirigeant,INFORMATIONAL_SOFTWARE,2,/securite,5,3,non,securite logiciel courtier,,True,renforcer (page existante)
Assurance sante,assurances,FR,courtier,INFORMATIONAL_SOFTWARE,3,/assurances/mutuelle-sante,5,3,non,mutuelle sante courtier,,True,renforcer (page existante)
Prevoyance,assurances,FR,courtier,INFORMATIONAL_SOFTWARE,3,/assurances/prevoyance,5,3,non,prevoyance courtier,,True,renforcer (page existante)
Assurance auto,assurances,FR,courtier,INFORMATIONAL_SOFTWARE,3,/assurances/assurance-auto,5,3,non,assurance auto courtier,,True,renforcer (page existante)
RC professionnelle,assurances,FR,courtier,INFORMATIONAL_SOFTWARE,4,/assurances/rc-pro,5,3,non,rc professionnelle courtier,,True,renforcer (page existante)
Multirisque professionnelle,assurances,FR,courtier,INFORMATIONAL_SOFTWARE,4,/assurances/multirisque-professionnelle,5,3,non,multirisque professionnelle courtier,,True,renforcer (page existante)
Glossaire du courtage,ressources,FR,courtier,INFORMATIONAL_SOFTWARE,2,/glossaire,5,3,non,glossaire courtage assurance,,n/a,renforcer (page existante)
Outils gratuits,outils,FR,courtier,INFORMATIONAL_SOFTWARE,3,/outils,5,5,non,outils courtier assurance,,n/a,renforcer (page existante)
