query,target_url,t0_impressions,t0_clicks,t0_ctr,t0_position,t7,t14,t30,action,status
"courtia",/,250,8,3.2 %,5.6,,,,"suivre le CTR et la position","PENDING_GOOGLE"
"logiciel courtier iard",/logiciel-courtier-assurance,10,0,0.0 %,59.3,,,,"suivre le CTR et la position","PENDING_GOOGLE"
"entre descartes underwriting et swiss re corporate solutions, pour traditional insurance, qui propose les meilleures solutions axées sur les courtiers pour les entreprises ? lequel devrais-je choisir ? <context> company url: https://descartesunderwriting.com/ market: france </context>",/,5,0,0.0 %,48.6,,,,"suivre le CTR et la position","PENDING_GOOGLE"
"cortia",/,3,0,0.0 %,82.7,,,,"suivre le CTR et la position","PENDING_GOOGLE"
"logiciel pour courtier en assurance",/logiciel-courtier-assurance,1,0,0.0 %,13.0,,,,"suivre le CTR et la position","PENDING_GOOGLE"
"courtier mulhouse",/,1,0,0.0 %,22.0,,,,"suivre le CTR et la position","PENDING_GOOGLE"
"logiciel pour courtier",/logiciel-courtier-assurance,1,0,0.0 %,26.0,,,,"suivre le CTR et la position","PENDING_GOOGLE"
"wintimenow",/,1,0,0.0 %,30.0,,,,"suivre le CTR et la position","PENDING_GOOGLE"
"logiciel courtier en assurance",/logiciel-courtier-assurance,1,0,0.0 %,32.0,,,,"suivre le CTR et la position","PENDING_GOOGLE"
"courtisia",/,1,0,0.0 %,53.0,,,,"suivre le CTR et la position","PENDING_GOOGLE"
"(page)",/,,,,,,,,,"suivre l indexation et le trafic","PENDING_GOOGLE"
"(page)",/logiciel-courtier-assurance,,,,,,,,,"suivre l indexation et le trafic","PENDING_GOOGLE"
"(page)",/crm-courtier-assurance,,,,,,,,,"suivre l indexation et le trafic","PENDING_GOOGLE"
"(page)",/fonctionnalites/assistant-ark,,,,,,,,,"suivre l indexation et le trafic","PENDING_GOOGLE"
"(page)",/fonctionnalites/gestion-portefeuille-assurance,,,,,,,,,"suivre l indexation et le trafic","PENDING_GOOGLE"
"(page)",/fonctionnalites/relance-devis-assurance,,,,,,,,,"suivre l indexation et le trafic","PENDING_GOOGLE"
"(page)",/fonctionnalites/renouvellements-assurance,,,,,,,,,"suivre l indexation et le trafic","PENDING_GOOGLE"
"(page)",/france,,,,,,,,,"suivre l indexation et le trafic","PENDING_GOOGLE"
"(page)",/suisse,,,,,,,,,"suivre l indexation et le trafic","PENDING_GOOGLE"
"(page)",/suisse/geneve,,,,,,,,,"suivre l indexation et le trafic","PENDING_GOOGLE"
"(page)",/suisse/lausanne,,,,,,,,,"suivre l indexation et le trafic","PENDING_GOOGLE"
"(page)",/outils,,,,,,,,,"suivre l indexation et le trafic","PENDING_GOOGLE"
