legacy_url,legacy_slug,legacy_topic,historic_title,historic_intent,historic_keyword,historic_content_found,current_equivalent,product_feature_exists,commercial_value,current_demand_signal,decision,destination,implementation,prod_test,final_status,notes
https://courtiark.fr/fr/comparateur-assurance-courtier,/fr/comparateur-assurance-courtier,comparateur de devis,"Comparateur pour courtier d&#x27;assurance : comparer des propositions, pas des",COMMERCIAL_SOFTWARE,comparateur de devis,oui,non (page creee),"oui — routes /quote-request, /submit, /manual-result, /results, /compare",haute,aucune donnee Search Console sur ces URL (hors top requetes),RESTORE,/fonctionnalites/comparateur-devis-assurance,page creee dans le moteur (contenu_restaure.py) + sitemap,a verifier apres deploiement,IMPLEMENTE — test production a suivre,"intention commerciale, aucune page equivalente, fonctionnalite reelle : page restauree"
https://courtiark.fr/fr/demo-et-essai-gratuit,/fr/demo-et-essai-gratuit,demonstration,Voir COURTIA : démonstration publique et essai gratuit — COURTIA,COMMERCIAL_SOFTWARE,demonstration,oui,oui,oui — demonstration publique et essai de 7 jours,faible,aucune donnee Search Console sur ces URL (hors top requetes),REDIRECT,/demo,regle de redirection permanente (seo/legacy_redirects.json),a verifier apres deploiement,IMPLEMENTE — test production a suivre,equivalent actuel exact
https://courtiark.fr/fr/densite-courtage-grandes-villes-france,/fr/densite-courtage-grandes-villes-france,densite du courtage,Densité du courtage dans les grandes villes de France (données sourcées),COMMERCIAL_SOFTWARE,densite du courtage,oui,non (page creee),non applicable (actif de donnees),haute,aucune donnee Search Console sur ces URL (hors top requetes),RESTORE,/france/densite-courtage,page creee dans le moteur (contenu_restaure.py) + sitemap,a verifier apres deploiement,IMPLEMENTE — test production a suivre,"actif de donnees unique (SIRENE) : page restauree, chiffres recalcules a chaque build"
https://courtiark.fr/fr/guide/audit-acpr,/fr/guide/audit-acpr,controle et preuves,Audit ACPR : la check-list — Guide COURTIA · courtiark.fr,INFORMATIONAL_SOFTWARE,controle et preuves,oui,non (page creee),"oui — conformite.js : /dashboard, /dda/checklist/:client_id, /kyc/:client_id, /mandats, /audit-logs",haute,aucune donnee Search Console sur ces URL (hors top requetes),RESTORE,/conformite/controle-acpr-courtier,page creee dans le moteur (contenu_restaure.py) + sitemap,a verifier apres deploiement,IMPLEMENTE — test production a suivre,"intention utile, aucune page equivalente : page restauree, sans reformuler les textes reglementaires"
https://courtiark.fr/fr/guide/devoir-de-conseil,/fr/guide/devoir-de-conseil,devoir de conseil,Devoir de conseil du courtier — Guide COURTIA · courtiark.fr,INFORMATIONAL_SOFTWARE,devoir de conseil,oui,oui,oui,faible,aucune donnee Search Console sur ces URL (hors top requetes),REDIRECT,/guides/devoir-de-conseil-suivi-dossier,regle de redirection permanente (seo/legacy_redirects.json),a verifier apres deploiement,IMPLEMENTE — test production a suivre,equivalent actuel exact : redirection vers le guide existant
https://courtiark.fr/fr/guide/ipid,/fr/guide/ipid,documents d information produit,IPID : le document d&#x27;information produit — Guide COURTIA · courtiark.fr,INFORMATIONAL_SOFTWARE,documents d information produit,oui,non (page creee),"oui — documents.client, collecte par lien, lecture assistee, transmissions",haute,aucune donnee Search Console sur ces URL (hors top requetes),RESTORE,/conformite/ipid-document-information,page creee dans le moteur (contenu_restaure.py) + sitemap,a verifier apres deploiement,IMPLEMENTE — test production a suivre,"intention utile pour la Suisse et la France, aucune page equivalente : page restauree"
https://courtiark.fr/fr/guide/lcb-ft,/fr/guide/lcb-ft,LCB-FT et verification client,LCB-FT : conformité du courtier — Guide COURTIA · courtiark.fr,INFORMATIONAL_SOFTWARE,LCB-FT et verification client,oui,non (page creee),"oui — KYC par client, checklist DDA, journal d audit, pieces du dossier",haute,aucune donnee Search Console sur ces URL (hors top requetes),RESTORE,/conformite/lcb-ft-courtier,page creee dans le moteur (contenu_restaure.py) + sitemap,a verifier apres deploiement,IMPLEMENTE — test production a suivre,"intention utile, aucune page equivalente : page restauree avec sources officielles"
https://courtiark.fr/fr/guide/reforme-courtage,/fr/guide/reforme-courtage,contexte reglementaire,Réforme du courtage : adhésion association — Guide COURTIA · courtiark.fr,INFORMATIONAL_SOFTWARE,contexte reglementaire,oui,oui,oui,faible,aucune donnee Search Console sur ces URL (hors top requetes),REDIRECT,/conformite/controle-acpr-courtier,regle de redirection permanente (seo/legacy_redirects.json),a verifier apres deploiement,IMPLEMENTE — test production a suivre,sujet date sans destination propre : rattache a la page controle
https://courtiark.fr/fr/guide/sanctions-acpr,/fr/guide/sanctions-acpr,sanctions de controle,Sanctions ACPR : ce qu&#x27;il faut retenir — Guide COURTIA · courtiark.fr,INFORMATIONAL_SOFTWARE,sanctions de controle,oui,oui,oui,faible,aucune donnee Search Console sur ces URL (hors top requetes),REDIRECT,/conformite/controle-acpr-courtier,regle de redirection permanente (seo/legacy_redirects.json),a verifier apres deploiement,IMPLEMENTE — test production a suivre,"sous-sujet de la page controle, desormais restauree"
https://courtiark.fr/fr/guide/structurer-pipeline-courtier,/fr/guide/structurer-pipeline-courtier,pipeline commercial,Structurer un pipeline commercial de courtage : méthode — COURTIA,INFORMATIONAL_SOFTWARE,pipeline commercial,oui,oui,"oui — opportunites.js, kanban.js",faible,aucune donnee Search Console sur ces URL (hors top requetes),REDIRECT,/guides/automatiser-suivi-prospects-assurance,regle de redirection permanente (seo/legacy_redirects.json),a verifier apres deploiement,IMPLEMENTE — test production a suivre,equivalent actuel : guide du suivi des prospects
