target,contact,email,angle,asset,subject,message,followup1,followup2,status,sent_date,reply_date,coverage,backlink,contenu_cite_verifie
Planete CSCA,planetecsca.fr,(formulaire du site),Le syndicat parle du metier : nous apportons la carte du terrain,/etudes/courtage-assurance-france-2026,"Une cartographie du courtage francais, chiffrée ville par ville","Bonjour,

Votre interview du 11 septembre (« Le courtage d'assurances, le courage d'assurer ») insistait sur la realite concrete du metier. Nous venons de terminer un travail qui la mesure : la repartition des entreprises de courtage en France, calculee sur la base SIRENE (43 240 entreprises, code 66.22Z), avec la methode et les limites ecrites noir sur blanc.

C'est utile pour vos adhérents et pour vos positions publiques : la carte est ici (https://courtiark.fr/etudes/courtage-assurance-france-2026), le jeu de donnees agrege est telechargeable, et vous pouvez le reprendre en citant COURTIARK comme source du calcul.

Si cela vous parait utile pour une publication ou une note a vos adhérents, je vous fournis les chiffres par region et un commentaire de methode.

Bien cordialement,
Equipe COURTIARK","Bonjour, un mot court : la cartographie du courtage 2026 est disponible (https://courtiark.fr/etudes/courtage-assurance-france-2026). Si une exploitation par vos adhérents vous interesse, je prepare les chiffres par region. Equipe COURTIARK","Bonjour, dernier message de ma part sur ce sujet : les donnees restent disponibles et citees librement (source COURTIARK, calculs SIRENE du 18/09/2026). Bonne continuation. Equipe COURTIARK",READY_FOR_SEND,,,non,non,"« Le courtage d'assurances, le courage d'assurer » (interview de Jean-Francois Cousin, 11/09/2026)"
Courtage Magazine,courtage-magazine.fr,bienvenue@isoluce.net,Complement direct a leur checklist de migration,/guides/checklist-migration-crm-courtier (a produire) / outils,Votre checklist de migration CRM : le complement cote donnees,"Bonjour Laurent,

Votre checklist de reprise des dossiers lors d'une migration CRM est le genre de contenu qu'on garde. Nous avons construit le complement : un modele de reprise des donnees (clients, contrats, echeances, pieces) et un guide d'organisation en 25 points, directement utilisables en cabinet.

Si cela vous semble utile, je vous envoie les deux documents prets a publier, sans condition d'exclusivite ni contrepartie autre que la mention de la source.

Bien cordialement,
Equipe COURTIARK","Bonjour Laurent, je reviens brievement : les deux documents (reprise de donnees et guide 25 points) sont prets a vous etre transmis si le sujet vous interesse. Equipe COURTIARK","Bonjour Laurent, dernier message : les documents restent disponibles a tout moment, sans condition. Bonne continuation. Equipe COURTIARK",READY_FOR_SEND,,,non,non,« Migration CRM courtier : la checklist de reprise des dossiers »
La Tribune de l Assurance,tribune-assurance.optionfinance.fr,(formulaire du site),IA en assurance : ce qui est automatisable sans decider a la place du courtier,/guides/ia-courtier-assurance (a produire) / fonctionnalites/assistant-ark,IA en assurance : le partage concret entre automatisation et decision,"Bonjour,

Vos articles sur l'IA en assurance posent la bonne question : ce qui est automatisable et ce qui doit rester decide par un humain. Nous documentons la meme frontiere cote outil de courtage : lecture d'une piece et proposition de valeurs avec origine, validation obligatoire avant ecriture, journal des actions conserve.

Je peux vous fournir une lecture structuree de ce que fait reellement un assistant metier (avec les limites : aucune decision de garantie, aucun envoi automatique au client) si cela sert un dossier a venir.

Bien cordialement,
Equipe COURTIARK","Bonjour, court rappel : je peux detailler les frontieres reelles de l'IA en gestion de courtage (ce qui est automatise, ce qui est valide par un humain, ce qui est trace) pour un de vos dossiers. Equipe COURTIARK","Bonjour, dernier message sur ce point ; la documentation reste disponible sur demande. Bonne continuation. Equipe COURTIARK",READY_FOR_SEND,,,non,non,« Quand l'IA comble le fosse entre gestionnaires et sinistres » et le dossier sur les fondations Tech de l'IA en assurance
Sycra,sycra.fr,(formulaire du site),Outils concrets pour la conformite quotidienne d'un cabinet,/outils/checklist-dossier-courtier-assurance,Deux checklists pour la conformite au quotidien de vos adherents,"Bonjour,

Votre MagaSYne d'ete parlait de conformite sans vacances : nous avons construit deux checklists operationnelles, une pour le dossier client et une pour les renouvellements, utilisables gratuitement et sans compte. Elles suivent la logique du dossier de devoir de conseil : pieces, dates, verifications.

Si cela vous parait utile a diffuser a vos adherents, je vous transmets les documents avec la mention de source.

Bien cordialement,
Equipe COURTIARK","Bonjour, un mot : les deux checklists (dossier client, renouvellements) restent disponibles pour vos adherents, sans compte ni formulaire. Equipe COURTIARK","Bonjour, dernier message : les checklists restent accessibles et reutilisables. Bonne continuation. Equipe COURTIARK",READY_FOR_SEND,,,non,non,« Le Mot du President » aout 2026 et le MagaSYne d'ete sur la conformite
The Broker News,thebrokernews.ch,(formulaire du site),"France / Suisse : deux environnements, un meme besoin de tracabilite",/suisse + /conformite/ipid-document-information,"Courtage en Suisse romande : tracabilite et documents, vue comparee France/Suisse","Bonjour,

Vous couvrez le courtage suisse au quotidien. Une remarque qui pourrait interesser vos lecteurs : dans les deux pays, la difference de regime (DDA/ACPR cote francais, LSA et surveillance FINMA cote suisse) ne change pas la question operationnelle — retrouver la trace d'un conseil et la piece remise au client, des annees plus tard.

Nous documentons cette frontiere, avec les sources officielles citees. Si un angle compare vous interesse, je peux fournir un texte court et source.

Bien cordialement,
Equipe COURTIARK","Bonjour, court rappel : un comparatif France/Suisse sur la tracabilite des dossiers reste disponible si vous cherchez un angle. Equipe COURTIARK","Bonjour, dernier message sur ce sujet. Bonne continuation. Equipe COURTIARK",READY_FOR_SEND,,,non,non,"magazine suisse independant : actualites quotidiennes, analyses et interviews InsurTech"
ACA Suisse,aca-courtiers.ch,secretariat@aca-courtiers.ch,Outil gratuit pour les membres,/outils/checklist-renouvellement-assurance,Un outil gratuit a proposer a vos membres,"Bonjour,

Vous proposez des ressources pratiques a vos membres courtiers. Nous avons construit un outil gratuit, sans compte : une checklist de renouvellement (16 points) et un calculateur de charge administrative, utilisables en cabinet comme en formation. Rien n'est transmis a un serveur, aucune donnee n'est demandee.

Si cela entre dans votre rubrique avantages membres, je vous fournis les liens et une courte presentation.

Bien cordialement,
Equipe COURTIARK","Bonjour, un mot : l'outil de renouvellement reste en ligne et libre d'acces pour vos membres. Equipe COURTIARK","Bonjour, dernier message : les ressources restent disponibles. Bonne continuation. Equipe COURTIARK",READY_FOR_SEND,,,non,non,rubrique avantages membres et services aux courtiers associes
Digital et Assurance,digital-et-assurance.com,alexandre.pengloan@gmail.com,"Ce qu'un cabinet courtier automatise en premier, et ce qu'il continue de faire a la main",/guides/automatiser-renouvellements-assurance,Temoignage de terrain : ce qui s'automatise vraiment dans un cabinet,"Bonjour Alexandre,

Vos interviews de dirigeants montrent souvent le meme point de bascule entre intention et mise en oeuvre. Nous pouvons apporter la partie concrete : ce qui a ete automatise dans un cabinet, ce qui a ete abandonne, et ce qui reste manuel parce que ca doit le rester (decisions de garantie, envoi au client).

Si cela sert un article ou une interview, je vous fournis le detail operationnel et les limites, sans chiffres inventes.

Bien cordialement,
Equipe COURTIARK","Bonjour Alexandre, court rappel : le detail operationnel (ce qui s'automatise, ce qui reste manuel) est disponible si vous cherchez un angle. Equipe COURTIARK","Bonjour Alexandre, dernier message de ma part sur ce sujet. Bonne continuation. Equipe COURTIARK",READY_FOR_SEND,,,non,non,analyses sur la digitalisation et interviews de dirigeants de l'assurance
CNCEF Assurance,cncef.org,(formulaire du site),Checklists et outils pour les adherents,/outils,Checklists professionnelles a disposition de vos adherents,"Bonjour,

Nous mettons a disposition des outils de travail pour cabinets de courtage : checklist de dossier client (27 points), checklist de renouvellement (16 points), calculateurs de temps et de taux de transformation. Tout est gratuit, sans compte, et utilisable en formation.

Si cela peut servir vos adherents, je vous transmets les liens et une presentation courte, avec la mention de source.

Bien cordialement,
Equipe COURTIARK","Bonjour, un mot : les outils restent accessibles pour vos adherents, sans inscription. Equipe COURTIARK","Bonjour, dernier message : les ressources restent disponibles. Bonne continuation. Equipe COURTIARK",READY_FOR_SEND,,,non,non,"association professionnelle, accompagnement et formation des intermediaires"
CSCA (adppc),adppc.fr,(formulaire du site),Le suivi des dossiers en assurance emprunteur,/assurances + /fonctionnalites/renouvellements-assurance,Suivi des dossiers et echeances en assurance emprunteur,"Bonjour,

Le courtage en assurance de pret immobilier vit sur des echeances longues (10, 20 ans) et sur la tracabilite du conseil donne. C'est exactement le genre de suivi qu'un tableur rate au bout de quelques centaines de dossiers. Nous documentons la partie operationnelle : contenu des guides et des checklists, sans discours commercial.

Si un article sur la gestion des echeances vous interesse, je peux fournir un texte court et source.

Bien cordialement,
Equipe COURTIARK","Bonjour, court rappel : le texte sur la gestion des echeances longues est disponible si utile. Equipe COURTIARK","Bonjour, dernier message sur ce sujet. Bonne continuation. Equipe COURTIARK",READY_FOR_SEND,,,non,non,presentation du courtage en assurance de pret immobilier
AsCourtage,ascourtage.fr,(formulaire du site),Calculateur citable pour leur audience,/outils/calculateur-taux-transformation-assurance,Un calculateur de taux de transformation pour vos lecteurs,"Bonjour,

Vos lecteurs sont des courtiers qui suivent leurs taux de conversion. Nous avons construit un calculateur public qui affiche la formule sur la page et n'estime aucun taux : le visiteur saisit ses chiffres, l'outil calcule, avec un exemple de recuperation explicitement annonce comme une hypothese.

Si cela vous parait utile, vous pouvez l'integrer ou le citer librement, avec la mention de source.

Bien cordialement,
Equipe COURTIARK","Bonjour, un mot : le calculateur reste public et citable si vous cherchez une ressource pour vos lecteurs. Equipe COURTIARK","Bonjour, dernier message : la ressource reste disponible. Bonne continuation. Equipe COURTIARK",READY_FOR_SEND,,,non,non,contenus pratiques et espace presse pour courtiers
