url,source_discovery,current_http_status,current_title,current_canonical,current_robots,in_current_sitemap,exists_in_current_site,google_status,legacy_pattern,topic,closest_current_url,recommended_action,confidence,notes
https://courtiark.fr/ch,fichier statique du depot,308,Logiciel et CRM pour courtiers d'assurance en Suisse — COURTIA,https://courtiark.fr/ch,"index, follow, max-image-preview:large",non,oui,"indexee (historique, d'apres le rapport Search Console)",/ch/*,ancien hub,https://courtiark.fr/suisse,REDIRECT_308,haute,redirection deja en place
https://courtiark.fr/ch/automatisation-courtier-assurance-suisse,fichier statique du depot,200,"Automatisation pour courtiers suisses : échéances, pièces, commissions — COURTIA",https://courtiark.fr/ch/automatisation-courtier-assurance-suisse,"index, follow",non,oui,"indexee (historique, d'apres le rapport Search Console)",/ch/*,doublon semantique de l'ancien plan,https://courtiark.fr/automatisation-courtier-assurance,REDIRECT_308,haute,"correspondance par sujet, a confirmer si le contenu diverge"
https://courtiark.fr/ch/conformite-intermediaire-assurance-lsa-finma,fichier statique du depot,200,Conformité courtier d'assurance en Suisse : obligations LSA et FINMA,https://courtiark.fr/ch/conformite-intermediaire-assurance-lsa-finma,"index, follow, max-image-preview:large",non,oui,"indexee (historique, d'apres le rapport Search Console)",/ch/*,doublon semantique de l'ancien plan,https://courtiark.fr/guides/devoir-de-conseil-suivi-dossier,REDIRECT_308,moyenne,"correspondance par sujet, a confirmer si le contenu diverge"
https://courtiark.fr/ch/crm-courtier-assurance-suisse,fichier statique du depot,308,CRM pour courtier d'assurance en Suisse : le dossier client 360° — COURTIA,https://courtiark.fr/ch/crm-courtier-assurance-suisse,"index, follow, max-image-preview:large",non,oui,"indexee (historique, d'apres le rapport Search Console)",/ch/*,doublon semantique de l'ancien plan,https://courtiark.fr/suisse,REDIRECT_308,moyenne,"correspondance par sujet, a confirmer si le contenu diverge"
https://courtiark.fr/ch/gestion-cabinet-courtage-suisse,fichier statique du depot,200,Gestion d&#x27;un cabinet de courtage en Suisse — COURTIA,https://courtiark.fr/ch/gestion-cabinet-courtage-suisse,"index, follow",non,oui,"indexee (historique, d'apres le rapport Search Console)",/ch/*,doublon semantique de l'ancien plan,https://courtiark.fr/suisse,REDIRECT_308,moyenne,"correspondance par sujet, a confirmer si le contenu diverge"
https://courtiark.fr/ch/gestion-commissions-courtier-assurance-suisse,fichier statique du depot,200,Gestion des commissions d'un courtier d'assurance en Suisse — COURTIA,https://courtiark.fr/ch/gestion-commissions-courtier-assurance-suisse,"index, follow, max-image-preview:large",non,oui,"indexee (historique, d'apres le rapport Search Console)",/ch/*,doublon semantique de l'ancien plan,https://courtiark.fr/crm-courtier-assurance,REDIRECT_308,moyenne,"correspondance par sujet, a confirmer si le contenu diverge"
https://courtiark.fr/ch/gestion-documentaire-courtier-assurance-suisse,fichier statique du depot,308,Gestion documentaire d&#x27;un courtier suisse : pièces et traçabilité — COURTIA,https://courtiark.fr/ch/gestion-documentaire-courtier-assurance-suisse,"index, follow",non,oui,"indexee (historique, d'apres le rapport Search Console)",/ch/*,doublon semantique de l'ancien plan,https://courtiark.fr/fonctionnalites/gestion-documents-assurance,REDIRECT_308,haute,"correspondance par sujet, a confirmer si le contenu diverge"
https://courtiark.fr/ch/gestion-portefeuille-assurance-suisse,fichier statique du depot,308,Gestion de portefeuille d'assurance en Suisse — contrats et échéances | COURTIA,https://courtiark.fr/ch/gestion-portefeuille-assurance-suisse,"index, follow, max-image-preview:large",non,oui,"indexee (historique, d'apres le rapport Search Console)",/ch/*,doublon semantique de l'ancien plan,https://courtiark.fr/fonctionnalites/gestion-portefeuille-assurance,REDIRECT_308,haute,"correspondance par sujet, a confirmer si le contenu diverge"
https://courtiark.fr/ch/glossaire,fichier statique du depot,308,Glossaire suisse du courtage d&#x27;assurance — COURTIA,https://courtiark.fr/ch/glossaire,"index, follow",non,oui,"indexee (historique, d'apres le rapport Search Console)",/ch/*,doublon semantique de l'ancien plan,https://courtiark.fr/glossaire,REDIRECT_308,haute,"correspondance par sujet, a confirmer si le contenu diverge"
https://courtiark.fr/ch/ia-courtier-assurance-suisse,fichier statique du depot,200,"IA pour courtier d'assurance en Suisse — ARK, l'assistance de COURTIA",https://courtiark.fr/ch/ia-courtier-assurance-suisse,"index, follow, max-image-preview:large",non,oui,"indexee (historique, d'apres le rapport Search Console)",/ch/*,doublon semantique de l'ancien plan,https://courtiark.fr/fonctionnalites/assistant-ark,REDIRECT_308,moyenne,"correspondance par sujet, a confirmer si le contenu diverge"
