query,clicks,impressions,ctr,avg_position,brand_nonbrand,intent,product_fit,business_value,position_opportunity,ctr_opportunity,target_url,action,notes
courtia,8,250,3.2 %,5.6,BRAND,BRAND,0,54.5,85,0,/,defendre la position : renforcer l entite COURTIARK,
logiciel pour courtier en assurance,0,1,0.0 %,13.0,NON_BRAND,COMMERCIAL_SOFTWARE,100,89.0,100,20,/logiciel-courtier-assurance,"viser le top 10 : contenu, maillage, backlink",
courtier mulhouse,0,1,0.0 %,22.0,NON_BRAND,LOCAL_BROKER,25,40.5,70,20,,ne pas optimiser : intention locale non servie par le produit,
logiciel pour courtier,0,1,0.0 %,26.0,NON_BRAND,COMMERCIAL_SOFTWARE,100,83.0,70,20,/logiciel-courtier-assurance,"viser le top 10 : contenu, maillage, backlink",
wintimenow,0,1,0.0 %,30.0,NON_BRAND,INFORMATIONAL_SOFTWARE,50,50.5,70,20,,soutenir par le maillage si la page existe,
logiciel courtier en assurance,0,1,0.0 %,32.0,NON_BRAND,COMMERCIAL_SOFTWARE,100,77.0,40,20,/logiciel-courtier-assurance,"viser le top 10 : contenu, maillage, backlink",
courtier lannion,0,1,0.0 %,40.0,NON_BRAND,LOCAL_BROKER,25,34.5,40,20,,ne pas optimiser : intention locale non servie par le produit,
"entre descartes underwriting et swiss re corporate solutions, pour traditional insurance, qui propose les meilleures solutions axées sur les courtiers pour les entreprises ? lequel devrais-je choisir ? <context> company url: https://descartesunderwriting.com/ market: france </context>",0,5,0.0 %,48.6,NON_BRAND,INFORMATIONAL_SOFTWARE,50,44.5,40,20,,soutenir par le maillage si la page existe,
courtier cahors,0,2,0.0 %,49.5,NON_BRAND,LOCAL_BROKER,25,34.5,40,20,,ne pas optimiser : intention locale non servie par le produit,
courtisia,0,1,0.0 %,53.0,BRAND,BRAND,0,33.0,20,0,/,defendre la position : renforcer l entite COURTIARK,
courtier haguenau,0,1,0.0 %,57.0,NON_BRAND,LOCAL_BROKER,25,30.5,20,20,,ne pas optimiser : intention locale non servie par le produit,
courtier assurance lausanne,0,9,0.0 %,58.2,NON_BRAND,LOCAL_BROKER,25,30.5,20,20,,ne pas optimiser : intention locale non servie par le produit,
courtier libourne,0,1,0.0 %,59.0,NON_BRAND,LOCAL_BROKER,25,30.5,20,20,,ne pas optimiser : intention locale non servie par le produit,
logiciel courtier iard,0,10,0.0 %,59.3,NON_BRAND,COMMERCIAL_SOFTWARE,100,73.0,20,20,/logiciel-courtier-assurance,"viser le top 10 : contenu, maillage, backlink",
courtier geneve,0,1,0.0 %,76.0,NON_BRAND,LOCAL_BROKER,25,30.5,20,20,,ne pas optimiser : intention locale non servie par le produit,
courtpilot,0,1,0.0 %,82.0,NON_BRAND,INFORMATIONAL_SOFTWARE,50,40.5,20,20,,soutenir par le maillage si la page existe,
cortia,0,3,0.0 %,82.7,BRAND,BRAND,0,33.0,20,0,/,defendre la position : renforcer l entite COURTIARK,
