query,clicks,impressions,position,intent,product_fit,country,target_url,action
"courtia",8,250,5.6,BRAND,NONE,FR,/,"defendre la position : renforcer l entite COURTIARK"
"logiciel pour courtier en assurance",0,1,13.0,SOFTWARE_COMMERCIAL,HIGH,FR,/logiciel-courtier-assurance,"viser le top 10 : contenu, maillage, backlink"
"courtier mulhouse",0,1,22.0,BROKER_LOCAL,LOW,FR,,"ne pas optimiser : intention locale non servie par le produit"
"logiciel pour courtier",0,1,26.0,SOFTWARE_COMMERCIAL,HIGH,FR,/logiciel-courtier-assurance,"viser le top 10 : contenu, maillage, backlink"
"wintimenow",0,1,30.0,IRRELEVANT,NONE,FR,,"aucune action"
"logiciel courtier en assurance",0,1,32.0,SOFTWARE_COMMERCIAL,HIGH,FR,/logiciel-courtier-assurance,"viser le top 10 : contenu, maillage, backlink"
"courtier lannion",0,1,40.0,BROKER_LOCAL,LOW,FR,,"ne pas optimiser : intention locale non servie par le produit"
"entre descartes underwriting et swiss re corporate solutions, pour traditional insurance, qui propose les meilleures solutions axées sur les courtiers pour les entreprises ? lequel devrais-je choisir ? <context> company url: https://descartesunderwriting.com/ market: france </context>",0,5,48.6,BROKER_LOCAL,LOW,FR,,"ne pas optimiser : intention locale non servie par le produit"
"courtier cahors",0,2,49.5,BROKER_LOCAL,LOW,FR,,"ne pas optimiser : intention locale non servie par le produit"
"courtisia",0,1,53.0,BRAND,NONE,FR,/,"defendre la position : renforcer l entite COURTIARK"
"courtier haguenau",0,1,57.0,BROKER_LOCAL,LOW,FR,,"ne pas optimiser : intention locale non servie par le produit"
"courtier assurance lausanne",0,9,58.2,BROKER_LOCAL,LOW,FR,,"ne pas optimiser : intention locale non servie par le produit"
"courtier libourne",0,1,59.0,BROKER_LOCAL,LOW,FR,,"ne pas optimiser : intention locale non servie par le produit"
"logiciel courtier iard",0,10,59.3,SOFTWARE_COMMERCIAL,HIGH,FR,/logiciel-courtier-assurance,"viser le top 10 : contenu, maillage, backlink"
"courtier geneve",0,1,76.0,BROKER_LOCAL,LOW,FR,,"ne pas optimiser : intention locale non servie par le produit"
"courtpilot",0,1,82.0,IRRELEVANT,NONE,FR,,"aucune action"
"cortia",0,3,82.7,BRAND,NONE,FR,/,"defendre la position : renforcer l entite COURTIARK"
