domaine,type,audience,angle,asset_courtia,acces_public,priorite,statut,contact_engage
babyloneconsulting.fr,consultant,cabinets,ressources gratuites,checklists,https://www.babyloneconsulting.fr/,3,cible,non — aucune démarche sans autorisation
cabinetjulien.com,consultant,cabinets d'assurance,ressources gratuites,checklists + glossaire,https://www.cabinetjulien.com/,3,cible,non — aucune démarche sans autorisation
conseil.onlynnov.com,consultant,cabinets,ressources gratuites,checklists,https://conseil.onlynnov.com/,3,cible,non — aucune démarche sans autorisation
courtier.sollyazar.com,initiative courtier,courtiers,ressources utiles,checklists,https://courtier.sollyazar.com/taxonomy/term/308,3,cible,non — aucune démarche sans autorisation
planetecscarh.fr,association professionnelle,courtiers et RH assurance,ressources de méthode,processus + glossaire,https://planetecscarh.fr/qui-sommes-nous,3,cible,non — aucune démarche sans autorisation
smabtp.fr,acteur assurance construction,professionnels construction,contenus de branche,page décennale,https://www.smabtp.fr/sma/assurance/actualite/smabtp-vous-donne-rendez-vous-au-salon-h-expo-a-bordeaux-2026,3,veille,non — aucune démarche sans autorisation
swissriskcare.ch,acteur assurance suisse,professionnels suisses,contenus sur le suivi des sinistres et la traçabilité,processus sinistre (FR/CH),https://www.swissriskcare.ch/,3,cible,non — aucune démarche sans autorisation
agence-api.ouest-france.fr,agence de presse régionale,grand public régional,données locales par département (source SIRENE),cartographie par région et département,https://agence-api.ouest-france.fr/banques-finance/assurance/assurance-media-courtage-lance-sur-une-forte-croissance-sur-un-marche-tres-concurrentiel-2e3a39ab-8fac-4ff9-a81a-499faa25c894,2,cible,non — aucune démarche sans autorisation
antoinegandois.fr,podcast courtage,courtiers et candidats,"épisode sur l'organisation d'un cabinet, apporté par la méthode et non par le produit",protocole de mesure + processus,https://www.antoinegandois.fr/assurance-en-coulisses,2,cible,non — aucune démarche sans autorisation
assureurpro.com,média/événement courtage,courtiers,données et méthodes,cartographie + calculateur,https://assureurpro.com/event/rendez-vous-du-courtage-de-marseille,2,cible,non — aucune démarche sans autorisation
cncef.org,organisme professionnel,courtiers et intermédiaires,méthode et traçabilité,conformité + checklist audit,https://www.cncef.org/actualites/cncef-presente-aux-journees-du-courtage-en-septembre-2026,2,cible,non — aucune démarche sans autorisation
consultys-assurances.com,consultant assurance,cabinets de courtage,"méthode d'organisation et de mesure, sans produit",protocole de mesure + calculateur,https://consultys-assurances.com/cabinet-consultys,2,cible,non — aucune démarche sans autorisation
fincup.fr,formation finance/assurance,professionnels en formation,ressource de méthode pour leurs modules,processus + glossaire,https://www.fincup.fr/formation-assurances-dda,2,cible,non — aucune démarche sans autorisation
formations-obligatoires.fr,formation réglementaire,courtiers soumis à formation,contenus sur la traçabilité du devoir de conseil,conformité + checklist audit,https://formations-obligatoires.fr/formation-courtier-assurance,2,cible,non — aucune démarche sans autorisation
jassuremonfutur.fr,podcast assurance,nouveaux entrants et courtiers,vocabulaire et méthodes d'organisation,glossaire + processus,https://www.jassuremonfutur.fr/actualites/decouvrez-la-serie-de-podcasts-du-courtage-en-assurances,2,cible,non — aucune démarche sans autorisation
medcourtage.ch,média courtage suisse,courtiers francophones,"données et méthodes, sans démarche commerciale",cartographie + protocole de mesure,https://medcourtage.ch/,2,cible,non — aucune démarche sans autorisation
promaxis.ch,acteur suisse (automatisation),courtiers suisses,comparaison méthodologique sur ce qui est automatisable et ce qui ne l'est pas,page automatisation + limites,https://promaxis.ch/referencement-local-courtier-assurance-suisse-romande/,2,cible,non — aucune démarche sans autorisation
romandiecourtage.ch,acteur suisse du courtage,courtiers romands,ressource de méthode utilisable sans logiciel,processus + checklists,https://www.romandiecourtage.ch/,2,cible,non — aucune démarche sans autorisation
sbc-consulting.fr,consultant courtage,cabinets,processus réutilisables,bibliothèque de processus,https://sbc-consulting.fr/,2,cible,non — aucune démarche sans autorisation
swiss-courtage.ch,acteur suisse du courtage,courtiers romands,"libre accès à une méthode d'organisation, sans produit imposé",processus suisses + checklists,https://www.swiss-courtage.ch/,2,cible,non — aucune démarche sans autorisation
aca-courtiers.ch,association suisse de courtiers,courtiers suisses,"ressource suisse : vocabulaire, journal de conseil, processus",glossaire suisse + processus suisses,https://aca-courtiers.ch/,1,cible,non — aucune démarche sans autorisation
ascourtage.fr,média/annuaire courtage,courtiers,ressource gratuite utile à leurs lecteurs (checklists),checklists du cabinet,https://www.ascourtage.fr/la-presse-en-parle.html,1,cible,non — aucune démarche sans autorisation
